Run Number,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price,Excess Demand
1,100,100,0,10,1,50.0%,93.05,0
2,100,100,0,10,1,50.0%,93.1,1
3,100,100,0,10,1,50.0%,91.8,0
4,100,100,0,10,1,50.0%,89.85,0
5,100,100,0,10,1,50.0%,90.45,0
6,100,100,0,10,1,50.0%,97.6,1
7,100,100,0,10,1,50.0%,92.95,-1
8,100,100,0,10,1,50.0%,94.4,0
9,100,100,0,10,1,50.0%,88.2,0
10,100,100,0,10,1,50.0%,97.8,0
11,100,100,0,10,1,50.0%,87.55,1
12,100,100,0,10,1,50.0%,101.15,1
13,100,100,0,10,1,50.0%,91.55,-1
14,100,100,0,10,1,50.0%,93.55,0
15,100,100,0,10,1,50.0%,94.05,0
16,100,100,0,10,1,50.0%,91.1,-1
17,100,100,0,10,1,50.0%,92.9,-1
18,100,100,0,10,1,50.0%,99.5,0
19,100,100,0,10,1,50.0%,95.35,0
20,100,100,0,10,1,50.0%,85.35,-1
21,100,100,0,10,1,50.0%,94.25,0
22,100,100,0,10,1,50.0%,90.05,0
23,100,100,0,10,1,50.0%,87.75,1
24,100,100,0,10,1,50.0%,91.25,1
25,100,100,0,10,1,50.0%,100.9,0
26,100,100,0,10,1,50.0%,91.85,1
27,100,100,0,10,1,50.0%,100.25,1
28,100,100,0,10,1,50.0%,93.05,0
29,100,100,0,10,1,50.0%,87.55,0
30,100,100,0,10,1,50.0%,89.55,0
31,100,100,0,10,1,50.0%,92.6,0
32,100,100,0,10,1,50.0%,93.3,-1
33,100,100,0,10,1,50.0%,87.9,0
34,100,100,0,10,1,50.0%,89.25,0
35,100,100,0,10,1,50.0%,99.45,0
36,100,100,0,10,1,50.0%,99.05,-1
37,100,100,0,10,1,50.0%,97.15,-1
38,100,100,0,10,1,50.0%,88.75,0
39,100,100,0,10,1,50.0%,85.4,1
40,100,100,0,10,1,50.0%,80.15,0
41,100,100,0,10,1,50.0%,95.45,1
42,100,100,0,10,1,50.0%,84.65,0
43,100,100,0,10,1,50.0%,85.45,1
44,100,100,0,10,1,50.0%,99.45,-1
45,100,100,0,10,1,50.0%,79.35,1
46,100,100,0,10,1,50.0%,94.35,1
47,100,100,0,10,1,50.0%,95.5,0
48,100,100,0,10,1,50.0%,90.5,1
49,100,100,0,10,1,50.0%,96.35,-1
50,100,100,0,10,1,50.0%,102.45,1
51,100,100,0,10,1,50.0%,90.25,1
52,100,100,0,10,1,50.0%,93.6,0
53,100,100,0,10,1,50.0%,96.6,1
54,100,100,0,10,1,50.0%,96.25,-1
55,100,100,0,10,1,50.0%,96.0,0
56,100,100,0,10,1,50.0%,94.4,1
57,100,100,0,10,1,50.0%,96.3,-1
58,100,100,0,10,1,50.0%,86.1,1
59,100,100,0,10,1,50.0%,95.25,-1
60,100,100,0,10,1,50.0%,79.4,0
61,100,100,0,10,1,50.0%,96.0,0
62,100,100,0,10,1,50.0%,90.1,-1
63,100,100,0,10,1,50.0%,92.85,-1
64,100,100,0,10,1,50.0%,85.05,0
65,100,100,0,10,1,50.0%,101.0,0
66,100,100,0,10,1,50.0%,98.0,1
67,100,100,0,10,1,50.0%,83.3,-1
68,100,100,0,10,1,50.0%,83.4,-1
69,100,100,0,10,1,50.0%,91.55,0
70,100,100,0,10,1,50.0%,82.9,-1
71,100,100,0,10,1,50.0%,89.6,0
72,100,100,0,10,1,50.0%,92.6,1
73,100,100,0,10,1,50.0%,93.1,1
74,100,100,0,10,1,50.0%,88.55,-1
75,100,100,0,10,1,50.0%,92.5,0
76,100,100,0,10,1,50.0%,95.45,1
77,100,100,0,10,1,50.0%,98.95,0
78,100,100,0,10,1,50.0%,89.85,1
79,100,100,0,10,1,50.0%,84.05,1
80,100,100,0,10,1,50.0%,98.35,1
81,100,100,0,10,1,50.0%,92.85,0
82,100,100,0,10,1,50.0%,96.35,-1
