Run Number,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price,Excess Demand
1,100,0,0,10,1,0.0%,98.55,-1
2,100,0,0,10,1,0.0%,99.85,-1
3,100,0,0,10,1,0.0%,100.75,1
4,100,0,0,10,1,0.0%,99.35,-1
5,100,0,0,10,1,0.0%,100.25,1
6,100,0,0,10,1,0.0%,98.85,-1
7,100,0,0,10,1,0.0%,100.75,1
8,100,0,0,10,1,0.0%,98.25,-1
9,100,0,0,10,1,0.0%,98.25,-1
10,100,0,0,10,1,0.0%,101.25,-1
11,100,0,0,10,1,0.0%,100.15,1
12,100,0,0,10,1,0.0%,98.55,-1
13,100,0,0,10,1,0.0%,100.85,1
14,100,0,0,10,1,0.0%,101.65,1
15,100,0,0,10,1,0.0%,100.05,-1
16,100,0,0,10,1,0.0%,99.35,-1
17,100,0,0,10,1,0.0%,99.25,-1
18,100,0,0,10,1,0.0%,100.15,1
19,100,0,0,10,1,0.0%,98.25,-1
20,100,0,0,10,1,0.0%,100.45,1
21,100,0,0,10,1,0.0%,98.25,-1
22,100,0,0,10,1,0.0%,99.85,1
23,100,0,0,10,1,0.0%,100.85,-1
24,100,0,0,10,1,0.0%,100.95,1
25,100,0,0,10,1,0.0%,100.05,1
26,100,0,0,10,1,0.0%,100.15,1
27,100,0,0,10,1,0.0%,99.85,1
28,100,0,0,10,1,0.0%,99.05,-1
29,100,0,0,10,1,0.0%,100.15,1
30,100,0,0,10,1,0.0%,99.05,-1
31,100,0,0,10,1,0.0%,100.45,1
32,100,0,0,10,1,0.0%,100.75,1
33,100,0,0,10,1,0.0%,100.85,1
34,100,0,0,10,1,0.0%,99.25,-1
35,100,0,0,10,1,0.0%,100.85,1
36,100,0,0,10,1,0.0%,99.85,1
37,100,0,0,10,1,0.0%,101.15,1
38,100,0,0,10,1,0.0%,99.85,1
39,100,0,0,10,1,0.0%,98.35,-1
40,100,0,0,10,1,0.0%,99.85,1
41,100,0,0,10,1,0.0%,100.45,1
42,100,0,0,10,1,0.0%,99.25,-1
43,100,0,0,10,1,0.0%,98.35,-1
44,100,0,0,10,1,0.0%,101.05,1
45,100,0,0,10,1,0.0%,100.05,1
46,100,0,0,10,1,0.0%,99.05,-1
47,100,0,0,10,1,0.0%,98.25,-1
48,100,0,0,10,1,0.0%,98.25,-1
49,100,0,0,10,1,0.0%,101.25,1
50,100,0,0,10,1,0.0%,98.85,-1
51,100,0,0,10,1,0.0%,100.75,-1
52,100,0,0,10,1,0.0%,98.55,-1
53,100,0,0,10,1,0.0%,100.45,1
54,100,0,0,10,1,0.0%,100.05,1
