Run Number,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price,Excess Demand
1,0,100,0,5,1,100.0%,64.1,1
2,0,100,0,5,1,100.0%,44.05,1
3,0,100,0,5,1,100.0%,65.7,1
4,0,100,0,5,1,100.0%,82.35,1
5,0,100,0,5,1,100.0%,51.85,1
6,0,100,0,5,1,100.0%,25.4,-1
7,0,100,0,5,1,100.0%,58.15,1
8,0,100,0,5,1,100.0%,52.1,1
9,0,100,0,5,1,100.0%,80.2,-1
10,0,100,0,5,1,100.0%,108.75,1
11,0,100,0,5,1,100.0%,92.3,-1
12,0,100,0,5,1,100.0%,129.4,1
13,0,100,0,5,1,100.0%,74.6,1
14,0,100,0,5,1,100.0%,150.45,1
15,0,100,0,5,1,100.0%,89.5,1
16,0,100,0,5,1,100.0%,77.85,1
17,0,100,0,5,1,100.0%,56.9,1
18,0,100,0,5,1,100.0%,152.5,-1
19,0,100,0,5,1,100.0%,106.5,1
20,0,100,0,5,1,100.0%,59.65,1
21,0,100,0,5,1,100.0%,95.1,1
22,0,100,0,5,1,100.0%,64.05,1
23,0,100,0,5,1,100.0%,122.8,1
24,0,100,0,5,1,100.0%,53.2,1
25,0,100,0,5,1,100.0%,57.35,-1
26,0,100,0,5,1,100.0%,26.8,1
27,0,100,0,5,1,100.0%,100.5,1
28,0,100,0,5,1,100.0%,31.2,-1
29,0,100,0,5,1,100.0%,49.35,-1
30,0,100,0,5,1,100.0%,94.3,-1
31,0,100,0,5,1,100.0%,107.0,1
32,0,100,0,5,1,100.0%,77.0,1
33,0,100,0,5,1,100.0%,101.85,1
34,0,100,0,5,1,100.0%,37.35,-1
35,0,100,0,5,1,100.0%,69.1,-1
36,0,100,0,5,1,100.0%,9.4,1
37,0,100,0,5,1,100.0%,101.6,-1
38,0,100,0,5,1,100.0%,69.55,1
39,0,100,0,5,1,100.0%,76.15,1
40,0,100,0,5,1,100.0%,69.8,-1
41,0,100,0,5,1,100.0%,75.3,-1
42,0,100,0,5,1,100.0%,92.9,-1
43,0,100,0,5,1,100.0%,60.55,-1
44,0,100,0,5,1,100.0%,90.0,1
45,0,100,0,5,1,100.0%,132.75,1
46,0,100,0,5,1,100.0%,80.25,1
47,0,100,0,5,1,100.0%,56.5,1
48,0,100,0,5,1,100.0%,59.35,1
49,0,100,0,5,1,100.0%,88.75,1
50,0,100,0,5,1,100.0%,112.2,1
51,0,100,0,5,1,100.0%,54.7,1
52,0,100,0,5,1,100.0%,69.75,-1
53,0,100,0,5,1,100.0%,58.85,1
54,0,100,0,5,1,100.0%,65.15,-1
55,0,100,0,5,1,100.0%,59.2,1
56,0,100,0,5,1,100.0%,63.15,-1
57,0,100,0,5,1,100.0%,149.75,-1
58,0,100,0,5,1,100.0%,124.15,-1
59,0,100,0,5,1,100.0%,62.6,1
60,0,100,0,5,1,100.0%,53.1,1
61,0,100,0,5,1,100.0%,36.6,1
62,0,100,0,5,1,100.0%,57.5,-1
63,0,100,0,5,1,100.0%,92.05,-1
64,0,100,0,5,1,100.0%,50.15,-1
65,0,100,0,5,1,100.0%,152.3,-1
66,0,100,0,5,1,100.0%,128.35,-1
67,0,100,0,5,1,100.0%,55.15,-1
68,0,100,0,5,1,100.0%,40.2,1
69,0,100,0,5,1,100.0%,54.75,1
70,0,100,0,5,1,100.0%,55.35,-1
71,0,100,0,5,1,100.0%,85.5,1
72,0,100,0,5,1,100.0%,111.5,-1
73,0,100,0,5,1,100.0%,53.6,1
74,0,100,0,5,1,100.0%,59.2,-1
75,0,100,0,5,1,100.0%,95.95,1
76,0,100,0,5,1,100.0%,135.5,-1
77,0,100,0,5,1,100.0%,140.25,1
78,0,100,0,5,1,100.0%,77.15,-1
79,0,100,0,5,1,100.0%,45.2,-1
80,0,100,0,5,1,100.0%,56.45,-1
81,0,100,0,5,1,100.0%,78.8,1
82,0,100,0,5,1,100.0%,82.5,1
83,0,100,0,5,1,100.0%,81.6,-1
84,0,100,0,5,1,100.0%,96.3,-1
85,0,100,0,5,1,100.0%,34.2,1
86,0,100,0,5,1,100.0%,57.65,1
87,0,100,0,5,1,100.0%,38.25,1
88,0,100,0,5,1,100.0%,42.85,1
89,0,100,0,5,1,100.0%,89.3,-1
90,0,100,0,5,1,100.0%,53.8,1
91,0,100,0,5,1,100.0%,127.3,-1
92,0,100,0,5,1,100.0%,65.2,1
93,0,100,0,5,1,100.0%,110.65,-1
94,0,100,0,5,1,100.0%,134.1,-1
95,0,100,0,5,1,100.0%,61.15,-1
96,0,100,0,5,1,100.0%,70.75,1
97,0,100,0,5,1,100.0%,79.05,-1
98,0,100,0,5,1,100.0%,82.1,1
99,0,100,0,5,1,100.0%,97.85,-1
100,0,100,0,5,1,100.0%,44.45,-1
101,0,100,0,5,1,100.0%,23.4,1
102,0,100,0,5,1,100.0%,119.95,1
103,0,100,0,5,1,100.0%,45.65,1
104,0,100,0,5,1,100.0%,87.15,-1
105,0,100,0,5,1,100.0%,59.15,1
106,0,100,0,5,1,100.0%,50.45,1
107,0,100,0,5,1,100.0%,60.4,-1
108,0,100,0,5,1,100.0%,83.3,-1
109,0,100,0,5,1,100.0%,129.15,1
110,0,100,0,5,1,100.0%,53.45,-1
111,0,100,0,5,1,100.0%,74.0,-1
112,0,100,0,5,1,100.0%,46.35,-1
113,0,100,0,5,1,100.0%,73.75,1
114,0,100,0,5,1,100.0%,57.5,-1
115,0,100,0,5,1,100.0%,40.05,1
116,0,100,0,5,1,100.0%,101.0,1
117,0,100,0,5,1,100.0%,112.9,1
118,0,100,0,5,1,100.0%,30.25,1
119,0,100,0,5,1,100.0%,119.2,-1
120,0,100,0,5,1,100.0%,95.55,1
121,0,100,0,5,1,100.0%,19.15,-1
122,0,100,0,5,1,100.0%,47.25,1
123,0,100,0,5,1,100.0%,73.8,1
124,0,100,0,5,1,100.0%,81.4,1
125,0,100,0,5,1,100.0%,88.15,1
126,0,100,0,5,1,100.0%,56.4,1
127,0,100,0,5,1,100.0%,120.95,-1
128,0,100,0,5,1,100.0%,82.35,1
129,0,100,0,5,1,100.0%,43.65,1
130,0,100,0,5,1,100.0%,79.45,1
131,0,100,0,5,1,100.0%,77.2,-1
132,0,100,0,5,1,100.0%,61.95,1
133,0,100,0,5,1,100.0%,35.5,-1
134,0,100,0,5,1,100.0%,69.85,-1
135,0,100,0,5,1,100.0%,115.4,-1
136,0,100,0,5,1,100.0%,126.25,-1
137,0,100,0,5,1,100.0%,49.55,1
138,0,100,0,5,1,100.0%,67.0,-1
139,0,100,0,5,1,100.0%,79.5,-1
140,0,100,0,5,1,100.0%,60.6,1
141,0,100,0,5,1,100.0%,50.75,1
142,0,100,0,5,1,100.0%,60.5,1
143,0,100,0,5,1,100.0%,74.55,1
144,0,100,0,5,1,100.0%,144.6,1
145,0,100,0,5,1,100.0%,68.35,1
146,0,100,0,5,1,100.0%,70.05,1
147,0,100,0,5,1,100.0%,92.2,-1
148,0,100,0,5,1,100.0%,47.65,-1
149,0,100,0,5,1,100.0%,100.35,1
150,0,100,0,5,1,100.0%,61.3,1
151,0,100,0,5,1,100.0%,74.55,-1
152,0,100,0,5,1,100.0%,59.75,1
153,0,100,0,5,1,100.0%,108.4,1
154,0,100,0,5,1,100.0%,55.65,-1
155,0,100,0,5,1,100.0%,41.6,-1
156,0,100,0,5,1,100.0%,96.65,-1
157,0,100,0,5,1,100.0%,49.85,1
158,0,100,0,5,1,100.0%,72.5,1
159,0,100,0,5,1,100.0%,88.2,-1
160,0,100,0,5,1,100.0%,83.1,1
161,0,100,0,5,1,100.0%,101.9,-1
162,0,100,0,5,1,100.0%,31.85,-1
163,0,100,0,5,1,100.0%,85.05,-1
164,0,100,0,5,1,100.0%,63.05,1
165,0,100,0,5,1,100.0%,119.1,-1
166,0,100,0,5,1,100.0%,79.4,-1
167,0,100,0,5,1,100.0%,51.5,1
168,0,100,0,5,1,100.0%,79.7,-1
169,0,100,0,5,1,100.0%,136.3,-1
170,0,100,0,5,1,100.0%,89.8,1
171,0,100,0,5,1,100.0%,104.9,-1
172,0,100,0,5,1,100.0%,59.7,1
173,0,100,0,5,1,100.0%,51.55,1
174,0,100,0,5,1,100.0%,168.75,1
175,0,100,0,5,1,100.0%,30.15,-1
176,0,100,0,5,1,100.0%,78.65,1
177,0,100,0,5,1,100.0%,62.2,1
178,0,100,0,5,1,100.0%,58.85,1
179,0,100,0,5,1,100.0%,50.95,-1
180,0,100,0,5,1,100.0%,100.95,-1
181,0,100,0,5,1,100.0%,108.7,1
182,0,100,0,5,1,100.0%,135.2,-1
183,0,100,0,5,1,100.0%,96.2,1
184,0,100,0,5,1,100.0%,90.25,1
185,0,100,0,5,1,100.0%,43.1,-1
186,0,100,0,5,1,100.0%,54.7,-1
187,0,100,0,5,1,100.0%,60.95,-1
188,0,100,0,5,1,100.0%,105.25,-1
189,0,100,0,5,1,100.0%,32.3,-1
190,0,100,0,5,1,100.0%,49.55,-1
191,0,100,0,5,1,100.0%,79.8,-1
192,0,100,0,5,1,100.0%,154.4,1
193,0,100,0,5,1,100.0%,74.15,-1
194,0,100,0,5,1,100.0%,69.8,1
195,0,100,0,5,1,100.0%,73.55,1
196,0,100,0,5,1,100.0%,88.65,-1
197,0,100,0,5,1,100.0%,54.3,-1
198,0,100,0,5,1,100.0%,60.25,1
199,0,100,0,5,1,100.0%,88.9,-1
200,0,100,0,5,1,100.0%,73.3,1
201,0,100,0,5,1,100.0%,72.5,1
202,0,100,0,5,1,100.0%,66.75,-1
203,0,100,0,5,1,100.0%,104.15,1
204,0,100,0,5,1,100.0%,55.75,-1
205,0,100,0,5,1,100.0%,80.45,-1
206,0,100,0,5,1,100.0%,49.7,1
207,0,100,0,5,1,100.0%,70.75,-1
208,0,100,0,5,1,100.0%,152.95,-1
209,0,100,0,5,1,100.0%,135.7,-1
210,0,100,0,5,1,100.0%,39.15,1
211,0,100,0,5,1,100.0%,67.85,-1
212,0,100,0,5,1,100.0%,95.8,1
213,0,100,0,5,1,100.0%,53.2,-1
214,0,100,0,5,1,100.0%,56.95,-1
215,0,100,0,5,1,100.0%,71.8,-1
216,0,100,0,5,1,100.0%,43.55,-1
217,0,100,0,5,1,100.0%,144.55,1
218,0,100,0,5,1,100.0%,104.3,-1
219,0,100,0,5,1,100.0%,133.15,1
220,0,100,0,5,1,100.0%,109.3,1
221,0,100,0,5,1,100.0%,62.45,1
222,0,100,0,5,1,100.0%,44.3,1
223,0,100,0,5,1,100.0%,65.15,1
224,0,100,0,5,1,100.0%,57.0,-1
225,0,100,0,5,1,100.0%,58.1,1
226,0,100,0,5,1,100.0%,75.2,-1
227,0,100,0,5,1,100.0%,54.15,1
228,0,100,0,5,1,100.0%,49.25,1
229,0,100,0,5,1,100.0%,113.35,1
230,0,100,0,5,1,100.0%,76.9,-1
231,0,100,0,5,1,100.0%,93.05,-1
232,0,100,0,5,1,100.0%,68.4,1
233,0,100,0,5,1,100.0%,64.7,-1
234,0,100,0,5,1,100.0%,104.8,-1
235,0,100,0,5,1,100.0%,65.25,1
236,0,100,0,5,1,100.0%,82.55,1
237,0,100,0,5,1,100.0%,18.1,-1
238,0,100,0,5,1,100.0%,65.4,1
239,0,100,0,5,1,100.0%,66.35,-1
240,0,100,0,5,1,100.0%,108.4,-1
241,0,100,0,5,1,100.0%,136.25,1
242,0,100,0,5,1,100.0%,72.35,-1
243,0,100,0,5,1,100.0%,89.45,1
244,0,100,0,5,1,100.0%,118.6,1
245,0,100,0,5,1,100.0%,53.4,1
246,0,100,0,5,1,100.0%,77.4,-1
247,0,100,0,5,1,100.0%,64.95,-1
248,0,100,0,5,1,100.0%,65.65,1
249,0,100,0,5,1,100.0%,87.65,1
250,0,100,0,5,1,100.0%,55.45,-1
251,0,100,0,5,1,100.0%,39.55,1
252,0,100,0,5,1,100.0%,63.1,-1
253,0,100,0,5,1,100.0%,59.15,-1
254,0,100,0,5,1,100.0%,129.5,1
255,0,100,0,5,1,100.0%,67.4,-1
256,0,100,0,5,1,100.0%,132.75,-1
257,0,100,0,5,1,100.0%,88.2,1
258,0,100,0,5,1,100.0%,42.4,1
259,0,100,0,5,1,100.0%,90.6,1
260,0,100,0,5,1,100.0%,149.3,1
261,0,100,0,5,1,100.0%,62.65,1
262,0,100,0,5,1,100.0%,85.5,-1
263,0,100,0,5,1,100.0%,114.6,-1
264,0,100,0,5,1,100.0%,91.0,1
265,0,100,0,5,1,100.0%,114.2,-1
266,0,100,0,5,1,100.0%,72.85,-1
267,0,100,0,5,1,100.0%,44.8,-1
268,0,100,0,5,1,100.0%,70.9,-1
269,0,100,0,5,1,100.0%,59.2,-1
270,0,100,0,5,1,100.0%,81.9,-1
271,0,100,0,5,1,100.0%,45.8,1
272,0,100,0,5,1,100.0%,82.75,1
273,0,100,0,5,1,100.0%,95.45,1
274,0,100,0,5,1,100.0%,157.85,-1
275,0,100,0,5,1,100.0%,96.8,1
276,0,100,0,5,1,100.0%,109.45,-1
277,0,100,0,5,1,100.0%,51.25,1
278,0,100,0,5,1,100.0%,74.7,-1
279,0,100,0,5,1,100.0%,113.5,1
280,0,100,0,5,1,100.0%,108.2,1
281,0,100,0,5,1,100.0%,51.7,-1
282,0,100,0,5,1,100.0%,44.6,1
283,0,100,0,5,1,100.0%,56.35,1
284,0,100,0,5,1,100.0%,41.15,-1
285,0,100,0,5,1,100.0%,96.35,1
286,0,100,0,5,1,100.0%,42.85,-1
287,0,100,0,5,1,100.0%,147.05,1
288,0,100,0,5,1,100.0%,72.2,-1
289,0,100,0,5,1,100.0%,61.85,1
290,0,100,0,5,1,100.0%,140.65,1
