Trade Number,Market Price,Excess Demand,Speculator Proportion,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
62226,39.75,-444,64.96,nan,nan,nan,0.513,nan,0.0,4.7
62227,39.75,-444,64.96,nan,nan,nan,0.513,nan,0.0,4.7
62228,39.75,-443,64.96,nan,nan,nan,0.513,nan,0.0,4.7
62229,39.75,-443,64.96,nan,nan,nan,0.513,nan,0.0,4.7
62230,39.75,-443,64.96,nan,nan,nan,0.513,nan,0.0,4.7
62231,39.75,-442,64.96,nan,nan,nan,0.513,nan,0.0,4.7
62232,39.75,-442,64.96,nan,nan,nan,0.513,nan,0.0,4.7
62233,39.75,-442,64.96,nan,nan,nan,0.514,nan,0.0,4.7
62234,39.75,-441,64.96,nan,nan,nan,0.513,nan,0.0,4.7
62235,39.95,-441,64.96,nan,nan,nan,0.513,0.707,0.2,4.9
62236,39.95,-440,64.96,nan,nan,nan,0.512,0.577,0.2,4.9
62237,40.05,-440,64.96,nan,nan,nan,0.512,0.577,0.3,5.0
62238,40.05,-440,64.96,nan,nan,nan,0.512,0.577,0.3,5.0
62239,40.05,-440,64.96,nan,nan,nan,0.513,0.577,0.3,5.0
62240,40.05,-440,64.96,nan,nan,nan,0.513,0.577,0.3,5.0
62241,40.05,-440,64.96,nan,nan,nan,0.513,0.577,0.3,5.0
62242,40.05,-439,64.96,nan,nan,nan,0.513,0.577,0.3,5.0
62243,40.05,-438,64.96,nan,nan,nan,0.513,0.577,0.3,5.0
62244,40.05,-438,64.96,nan,nan,nan,0.514,0.707,0.3,5.0
62245,40.05,-438,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62246,40.05,-438,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62247,40.05,-438,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62248,40.05,-438,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62249,40.05,-438,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62250,40.05,-438,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62251,40.05,-438,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62252,40.05,-437,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62253,40.05,-437,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62254,40.05,-437,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62255,40.05,-437,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62256,40.05,-437,64.96,nan,nan,nan,0.514,nan,0.3,5.0
62257,40.05,-440,64.96,nan,nan,nan,0.513,nan,0.3,5.0
62258,39.75,-440,64.96,nan,nan,nan,0.513,0.707,0.3,5.0
62259,39.75,-440,64.96,nan,nan,nan,0.513,0.707,0.3,5.0
62260,39.75,-440,64.96,nan,nan,nan,0.513,0.707,0.3,5.0
62261,39.75,-440,64.96,nan,nan,nan,0.513,0.707,0.3,5.0
62262,39.75,-440,64.96,nan,nan,nan,0.513,0.707,0.3,5.0
62263,39.75,-439,64.96,nan,nan,nan,0.513,0.707,0.3,5.0
62264,39.75,-438,64.96,nan,nan,nan,0.513,0.707,0.3,5.0
62265,39.75,-437,64.96,nan,nan,nan,0.513,0.707,0.3,5.0
62266,39.75,-437,64.96,nan,nan,nan,0.513,nan,0.3,5.0
62267,39.75,-437,64.96,nan,nan,nan,0.513,nan,0.3,5.0
62268,39.75,-436,64.96,nan,nan,nan,0.512,nan,0.3,5.0
62269,41.35,-436,64.96,nan,nan,nan,0.512,0.707,1.6,6.3
62270,41.35,-435,64.96,nan,nan,nan,0.511,0.577,1.6,6.3
62271,42.35,-435,64.96,nan,nan,nan,0.511,0.577,2.6,7.3
62272,42.35,-435,64.96,nan,nan,nan,0.512,0.577,2.6,7.0
62273,42.35,-434,64.96,nan,nan,nan,0.512,0.548,2.6,7.0
62274,43.75,-434,64.96,nan,nan,nan,0.512,0.548,4.0,8.4
62275,43.75,-434,64.96,nan,nan,nan,0.512,0.548,4.0,8.4
62276,43.75,-434,64.96,nan,nan,nan,0.512,0.548,4.0,8.4
62277,43.75,-433,64.96,nan,nan,nan,0.511,0.548,4.0,8.4
62278,46.0,-432,64.96,nan,nan,nan,0.511,0.548,6.25,10.65
62279,46.0,-432,64.96,nan,nan,nan,0.512,0.548,6.25,10.65
62280,46.0,-432,64.96,nan,nan,nan,0.512,0.577,6.25,10.65
62281,46.0,-432,64.96,nan,nan,nan,0.512,0.577,6.25,10.65
62282,46.0,-432,64.96,nan,nan,nan,0.512,0.577,6.25,10.65
62283,46.0,-431,64.96,nan,nan,nan,0.512,0.707,6.25,10.65
62284,46.0,-431,64.96,nan,nan,nan,0.512,0.707,6.25,10.65
62285,46.0,-431,64.96,nan,nan,nan,0.512,0.707,6.25,10.65
62286,46.0,-430,64.96,nan,nan,nan,0.512,nan,6.25,10.65
62287,46.0,-430,64.96,nan,nan,nan,0.513,nan,6.25,8.45
62288,46.0,-430,64.96,nan,nan,nan,0.513,nan,6.25,8.45
62289,46.0,-430,64.96,nan,nan,nan,0.513,nan,6.25,8.45
62290,46.0,-430,64.96,nan,nan,nan,0.513,nan,6.25,8.45
62291,46.0,-429,64.96,nan,nan,nan,0.513,nan,6.25,8.45
62292,47.35,-443,64.96,nan,nan,nan,0.947,2.881,7.6,9.8
62293,43.2,-442,64.96,nan,nan,nan,0.926,2.123,7.6,9.8
62294,43.2,-442,64.96,nan,nan,nan,0.926,2.123,7.6,9.8
62295,43.2,-442,64.96,nan,nan,nan,0.926,2.123,7.6,9.8
62296,43.2,-442,64.96,nan,nan,nan,0.926,2.123,7.6,9.8
62297,43.2,-442,64.96,nan,nan,nan,0.926,2.123,7.6,9.8
62298,43.2,-442,64.96,nan,nan,nan,0.926,2.123,7.6,9.8
62299,43.2,-442,64.96,nan,nan,nan,0.926,2.123,7.6,9.8
62300,43.2,-442,64.96,nan,nan,nan,0.926,2.174,7.6,9.8
62301,43.2,-442,64.96,nan,nan,nan,0.937,nan,7.6,9.8
62302,43.2,-442,64.96,nan,nan,nan,0.96,nan,7.6,9.8
62303,43.2,-441,64.96,nan,nan,nan,0.973,nan,7.6,9.8
62304,43.2,-441,64.96,nan,nan,nan,1.001,nan,7.6,7.6
62305,43.2,-441,64.96,nan,nan,nan,1.001,nan,7.6,7.6
62306,43.2,-441,64.96,nan,nan,nan,1.001,nan,7.6,7.6
62307,43.2,-441,64.96,nan,nan,nan,1.001,nan,7.6,7.6
62308,43.2,-441,64.96,nan,nan,nan,1.001,nan,7.6,7.6
62309,43.2,-441,64.96,nan,nan,nan,1.001,nan,7.6,7.6
62310,43.2,-451,64.96,nan,nan,nan,0.985,nan,7.6,7.6
62311,40.2,-452,64.96,nan,nan,nan,0.962,0.189,7.6,7.6
62312,38.0,-452,64.96,nan,nan,nan,0.939,0.518,9.35,9.35
62313,38.0,-452,64.96,nan,nan,nan,0.939,0.518,9.35,9.35
62314,38.0,-452,64.96,nan,nan,nan,0.939,0.518,9.35,9.35
62315,38.0,-451,64.96,nan,nan,nan,0.927,0.473,9.35,9.35
62316,40.45,-451,64.96,nan,nan,nan,0.908,0.511,9.35,9.35
62317,40.45,-450,64.96,nan,nan,nan,0.908,0.511,9.35,9.35
62318,40.45,-449,64.96,nan,nan,nan,0.898,0.493,9.35,9.35
62319,40.75,-448,64.96,nan,nan,nan,0.881,0.508,9.35,9.35
62320,40.75,-448,64.96,nan,nan,nan,0.881,0.548,9.35,9.35
62321,40.75,-448,64.96,nan,nan,nan,0.881,0.577,9.35,9.35
62322,40.75,-447,64.96,nan,nan,nan,0.881,0.577,9.35,9.35
62323,40.75,-446,64.96,nan,nan,nan,0.872,0.548,9.35,9.35
62324,40.9,-446,64.96,nan,nan,nan,0.858,0.548,9.35,9.35
62325,40.9,-445,64.96,nan,nan,nan,0.858,0.577,9.35,9.35
62326,40.9,-445,64.96,nan,nan,nan,0.858,0.577,9.35,9.35
62327,40.9,-445,64.96,nan,nan,nan,0.858,0.577,9.35,9.35
62328,40.9,-445,64.96,nan,nan,nan,0.858,0.707,9.35,9.35
62329,40.9,-444,64.96,nan,nan,nan,0.858,0.707,9.35,9.35
62330,40.9,-452,64.96,nan,nan,nan,0.85,0.577,9.35,9.35
62331,36.95,-452,64.96,nan,nan,nan,0.837,0.577,10.4,10.4
62332,36.95,-452,64.96,nan,nan,nan,0.837,0.577,10.4,10.4
62333,36.95,-451,64.96,nan,nan,nan,0.837,0.577,10.4,10.4
62334,38.85,-450,64.96,nan,nan,nan,0.837,0.577,10.4,10.4
62335,38.85,-449,64.96,nan,nan,nan,0.844,0.577,10.4,10.4
62336,38.85,-448,64.96,nan,nan,nan,0.858,0.577,10.4,10.4
62337,38.85,-448,64.96,nan,nan,nan,0.858,0.577,10.4,10.4
62338,38.85,-447,64.96,nan,nan,nan,0.858,0.577,10.4,10.4
62339,38.85,-447,64.96,nan,nan,nan,0.858,0.577,10.4,10.4
62340,38.85,-446,64.96,nan,nan,nan,0.85,0.577,10.4,10.4
62341,39.9,-446,64.96,nan,nan,nan,0.837,0.577,10.4,10.4
62342,39.9,-446,64.96,nan,nan,nan,0.837,0.577,10.4,10.4
62343,39.9,-446,64.96,nan,nan,nan,0.837,0.707,10.4,10.4
62344,39.9,-446,64.96,nan,nan,nan,0.837,0.707,10.4,10.4
62345,39.9,-445,64.96,nan,nan,nan,0.837,0.707,10.4,10.4
62346,39.9,-445,64.96,nan,nan,nan,0.837,0.707,10.4,10.4
62347,39.9,-445,64.96,nan,nan,nan,0.837,0.707,10.4,10.4
62348,39.9,-445,64.96,nan,nan,nan,0.837,0.707,10.4,10.4
62349,39.9,-445,64.96,nan,nan,nan,0.837,nan,10.4,10.4
62350,39.9,-445,64.96,nan,nan,nan,0.837,nan,10.4,10.4
62351,39.9,-445,64.96,nan,nan,nan,0.837,nan,10.4,10.4
62352,39.9,-444,64.96,nan,nan,nan,0.837,nan,10.4,10.4
62353,39.9,-444,64.96,nan,nan,nan,0.837,nan,10.4,10.4
62354,39.9,-444,64.96,nan,nan,nan,0.837,nan,10.4,10.4
62355,39.9,-444,64.96,nan,nan,nan,0.837,nan,10.4,10.4
62356,39.9,-443,64.96,nan,nan,nan,0.837,nan,10.4,10.4
62357,40.45,-443,64.96,nan,nan,nan,0.837,0.707,10.4,10.4
62358,40.45,-442,64.96,nan,nan,nan,0.83,0.577,10.4,10.4
62359,40.75,-442,64.96,nan,nan,nan,0.819,0.577,10.4,10.4
62360,40.75,-442,64.96,nan,nan,nan,0.819,0.577,10.4,10.4
62361,40.75,-442,64.96,nan,nan,nan,0.819,0.577,10.4,10.4
62362,40.75,-442,64.96,nan,nan,nan,0.819,0.577,10.4,10.4
62363,40.75,-441,64.96,nan,nan,nan,0.819,0.577,10.4,10.4
62364,40.75,-440,64.96,nan,nan,nan,0.813,0.548,10.4,10.4
62365,42.75,-440,64.96,nan,nan,nan,0.803,0.548,10.4,10.4
62366,42.75,-440,64.96,nan,nan,nan,0.803,0.577,10.4,10.4
62367,42.75,-440,64.96,nan,nan,nan,0.808,0.577,10.4,10.4
62368,42.75,-440,64.96,nan,nan,nan,0.819,0.707,10.4,10.4
62369,42.75,-439,64.96,nan,nan,nan,0.819,0.577,10.4,10.4
62370,44.95,-438,64.96,nan,nan,nan,0.819,0.577,10.4,10.4
62371,44.95,-437,64.96,nan,nan,nan,0.819,0.577,10.4,10.4
62372,44.95,-437,64.96,nan,nan,nan,0.825,0.577,10.4,10.4
62373,44.95,-437,64.96,nan,nan,nan,0.837,0.577,10.4,10.4
62374,44.95,-437,64.96,nan,nan,nan,0.837,0.707,10.4,10.4
62375,44.95,-437,64.96,nan,nan,nan,0.837,0.707,10.4,10.4
62376,44.95,-437,64.96,nan,nan,nan,0.844,0.707,10.4,10.4
62377,44.95,-437,64.96,nan,nan,nan,0.858,0.707,10.4,10.4
62378,44.95,-437,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62379,44.95,-437,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62380,44.95,-437,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62381,44.95,-437,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62382,44.95,-437,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62383,44.95,-437,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62384,44.95,-437,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62385,44.95,-437,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62386,44.95,-436,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62387,44.95,-436,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62388,44.95,-436,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62389,44.95,-436,64.96,nan,nan,nan,0.858,nan,10.4,10.4
62390,44.95,-436,64.96,nan,nan,nan,0.866,nan,10.4,10.4
62391,44.95,-435,64.96,nan,nan,nan,0.502,nan,10.4,10.4
62392,44.95,-435,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62393,44.95,-435,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62394,44.95,-435,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62395,44.95,-435,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62396,44.95,-435,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62397,44.95,-435,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62398,44.95,-434,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62399,44.95,-433,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62400,44.95,-433,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62401,44.95,-433,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62402,44.95,-433,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62403,44.95,-433,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62404,44.95,-432,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62405,44.95,-432,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62406,44.95,-432,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62407,44.95,-432,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62408,44.95,-432,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62409,44.95,-432,64.96,nan,nan,nan,0.502,nan,10.4,8.0
62410,44.95,-432,64.96,nan,nan,nan,0.512,nan,10.4,8.0
62411,44.95,-432,64.96,nan,nan,nan,0.513,nan,10.4,8.0
62412,44.95,-432,64.96,nan,nan,nan,0.513,nan,10.4,8.0
62413,44.95,-432,64.96,nan,nan,nan,0.513,nan,10.4,8.0
62414,44.95,-432,64.96,nan,nan,nan,0.513,nan,10.4,8.0
