Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP
1000,1500,125,30,5,70.00%,56.95
1000,1500,125,30,5,75.00%,80.65
1000,1500,125,30,5,70.00%,99.85
1000,1500,125,30,5,75.00%,56.45
1000,1500,125,30,5,70.00%,85.2
1000,1500,125,30,5,75.00%,90.95
1000,1500,125,30,5,70.0%,59.4
1000,1500,125,30,5,75.0%,96.25
1000,1500,125,30,5,75.0%,64.6
1000,1500,125,30,5,75.0%,95.25
1000,1500,125,30,5,75.0%,91.95
1000,1500,125,30,5,75.0%,66.7
1000,1500,125,30,5,75.0%,53.3
1000,1500,125,30,5,70.0%,87.5
1000,1500,125,30,5,75.0%,55.95
1000,1500,125,30,5,75.0%,60.15
1000,1500,125,30,5,70.0%,93.7
1000,1500,125,30,5,70.0%,78.25
1000,1500,125,30,5,75.0%,73.05
1000,1500,125,30,5,70.0%,93.25
1000,1500,125,30,5,75.0%,55.15
1000,1500,125,30,5,75.0%,55.35
1000,1500,125,30,5,70.0%,53.4
1000,1500,125,30,5,75.0%,94.45
1000,1500,125,30,5,70.0%,94.3
1000,1500,125,30,5,80.0%,58.3
1000,1500,125,30,5,75.0%,91.5
1000,1500,125,30,5,70.0%,91.65
1000,1500,125,30,5,70.0%,92.55
1000,1500,125,30,5,75.0%,57.65
1000,1500,125,30,5,70.0%,61.5
1000,1500,125,30,5,75.0%,86.55
1000,1500,125,30,5,70.0%,95.15
1000,1500,125,30,5,60.0%,0
1000,1500,125,30,5,70.0%,93.95
1000,1500,125,30,5,70.0%,92.45
1000,1500,125,30,5,70.0%,94.4
1000,1500,125,30,5,70.0%,57.1
1000,1500,125,30,5,75.0%,61.55
1000,1500,125,30,5,70.0%,67.6
1000,1500,125,30,5,75.0%,91.85
1000,1500,125,30,5,60.0%,0
1000,1500,125,30,5,70.0%,99.1
1000,1500,125,30,5,75.0%,94.65
1000,1500,125,30,5,75.0%,90.65
1000,1500,125,30,5,70.0%,91.75
1000,1500,125,30,5,70.0%,92.1
1000,1500,125,30,5,75.0%,90.4
1000,1500,125,30,5,75.0%,94.3
1000,1500,125,30,5,75.0%,90.6
1000,1500,125,30,5,75.0%,92.05
1000,1500,125,30,5,70.0%,92.55
1000,1500,125,30,5,70.0%,76.85
1000,1500,125,30,5,70.0%,73.75
1000,1500,125,30,5,75.0%,94.0
1000,1500,125,30,5,70.0%,60.25
1000,1500,125,30,5,70.0%,93.95
1000,1500,125,30,5,75.0%,93.35
1000,1500,125,30,5,60.0%,0
1000,1500,125,30,5,75.0%,91.6
1000,1500,125,30,5,70.0%,93.7
1000,1500,125,30,5,75.0%,93.4
1000,1500,125,30,5,75.0%,65.3
1000,1500,125,30,5,70.0%,94.1
1000,1500,125,30,5,75.0%,92.1
1000,1500,125,30,5,75.0%,95.75
1000,1500,125,30,5,75.0%,75.5
1000,1500,125,30,5,75.0%,90.55
1000,1500,125,30,5,75.0%,91.2
1000,1500,125,30,5,75.0%,92.95
1000,1500,125,30,5,75.0%,92.7
1000,1500,125,30,5,75.0%,75.6
1000,1500,125,30,5,75.0%,85.6
1000,1500,125,30,5,70.0%,90.65
1000,1500,125,30,5,70.0%,69.45
1000,1500,125,30,5,70.0%,90.25
1000,1500,125,30,5,75.0%,53.2
1000,1500,125,30,5,70.0%,93.9
1000,1500,125,30,5,70.0%,95.55
1000,1500,125,30,5,70.0%,92.95
1000,1500,125,30,5,75.0%,92.0
1000,1500,125,30,5,70.0%,92.95
1000,1500,125,30,5,75.0%,93.9
1000,1500,125,30,5,70.0%,91.95
1000,1500,125,30,5,70.0%,97.0
1000,1500,125,30,5,75.0%,91.65
1000,1500,125,30,5,75.0%,90.25
1000,1500,125,30,5,75.0%,82.45
1000,1500,125,30,5,75.0%,93.4
1000,1500,125,30,5,75.0%,95.5
1000,1500,125,30,5,70.0%,88.4
1000,1500,125,30,5,70.0%,94.75
1000,1500,125,30,5,70.0%,93.3
1000,1500,125,30,5,75.0%,93.9
1000,1500,125,30,5,75.0%,95.85
1000,1500,125,30,5,70.0%,91.55
1000,1500,125,30,5,70.0%,92.45
1000,1500,125,30,5,75.0%,81.05
1000,1500,125,30,5,75.0%,59.1
1000,1500,125,30,5,75.0%,90.6
