Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
2,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
3,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
4,True,900,1600,1,45,1,64.8%,62.25,-312,-0.51522,-0.04896,-1.19757,0.501,0.577,7.019,123.85,26.5,112500,51418
5,True,900,1600,1,45,1,65.16%,84.2,-525,-0.56355,-1.08623,-1.20197,0.769,0.577,5.845,105.9,19.05,112500,74868
6,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
7,True,900,1600,1,45,1,64.92%,90.15,-303,0.18851,-0.91055,-1.20021,0.694,0.374,6.369,111.1,12.75,112500,59438
8,True,900,1600,1,45,1,65.04%,62.4,-272,-0.57459,-1.11178,-1.20078,0.567,0.711,6.248,104.95,9.75,112500,67074
9,True,900,1600,1,45,1,65.04%,69.05,-239,0.03583,-1.44824,-1.19902,5.09,nan,6.613,104.25,7.0,112500,65693
10,True,900,1600,1,45,1,65.2%,54.25,-991,-0.68096,-1.26489,-1.1997,0.508,0.0,6.163,117.65,8.95,112500,75555
11,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
12,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
13,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
14,True,900,1600,1,45,1,65.12%,59.35,-691,-0.48659,-0.10742,-1.19851,0.535,nan,6.031,99.55,0.3,112500,71145
15,True,900,1600,1,45,1,64.8%,60.35,-428,0.27173,-1.13765,-1.20512,0.493,nan,6.644,107.6,15.15,112500,52468
16,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
17,True,900,1600,1,45,1,65.12%,61.7,-283,-0.62843,-1.25517,-1.20127,0.519,nan,6.338,117.6,13.55,112500,72205
18,True,900,1600,1,45,1,65.0%,90.65,-429,-0.77736,-1.32924,-1.19895,0.529,0.577,5.84,120.85,18.35,112500,64137
19,True,900,1600,1,45,1,65.2%,57.85,-338,-0.77218,-1.20474,-1.20014,0.522,nan,6.199,117.4,3.2,112500,76957
20,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
21,True,900,1600,1,45,1,65.16%,90.45,-656,-0.18278,-1.07803,-1.20172,0.498,0.548,6.283,112.4,17.4,112500,74820
22,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
23,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
24,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
25,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
26,True,900,1600,1,45,1,65.0%,57.5,-243,-0.98775,-1.2227,-1.19854,1.358,0.577,6.596,130.1,11.45,112500,63316
27,True,900,1600,1,45,1,65.0%,52.55,-451,-0.53332,-1.52706,-1.20074,0.576,nan,6.038,113.65,13.45,112500,62849
28,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
29,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
30,True,900,1600,1,45,1,65.08%,89.65,-215,-0.28302,-0.61975,-1.19844,0.64,nan,6.464,115.05,8.95,112500,68770
31,True,900,1600,1,45,1,64.96%,90.65,-400,-0.20446,-1.42071,-1.19896,0.538,0.577,6.488,107.65,11.8,112500,61663
32,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
33,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
