Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
1,True,1000,1500,125,30,5,70.0%,53.45,-159,0.70901,4.52518,-1.23524,6.318,0.496,7.917,124.0,12.75
2,True,1000,1500,125,30,5,75.0%,69.0,-192,-0.72856,-0.76085,-1.06864,9.397,0.5,6.545,127.2,29.05
3,True,1000,1500,125,30,5,75.0%,55.6,-137,-0.75268,-1.02741,-1.19254,0.843,0.577,6.568,125.0,15.5
4,True,1000,1500,125,30,5,70.0%,94.85,-87,-0.01078,-0.98517,-1.49754,0.548,0.577,6.849,120.0,26.1
5,True,1000,1500,125,30,5,70.0%,65.5,-190,-0.66405,-0.80389,-1.49605,0.578,0.675,7.033,113.7,21.4
6,True,1000,1500,125,30,5,75.0%,59.8,-223,0.08575,4.84087,-1.04957,0.56,0.621,5.594,114.15,14.4
7,True,1000,1500,125,30,5,70.0%,56.75,-141,-0.86817,3.05307,-1.49735,0.6,nan,7.332,118.25,11.2
8,True,1000,1500,125,30,5,75.0%,95.05,-319,-1.1252,-1.15994,-1.34798,17.641,0.532,6.664,122.25,9.55
9,True,1000,1500,125,30,5,75.0%,55.05,-287,-0.40667,-0.6623,-1.22924,0.699,0.548,6.639,114.85,22.4
10,True,1000,1500,125,30,5,75.0%,54.6,-133,-0.20366,1.76729,-1.17614,1.921,4.536,6.295,127.8,14.75
11,True,1000,1500,125,30,5,75.0%,52.55,-209,-0.7645,-1.00693,-1.06595,0.541,0.577,6.808,123.45,11.05
12,True,1000,1500,125,30,5,75.0%,63.95,-155,-1.41963,-0.95457,-1.3511,0.538,nan,6.705,121.95,13.95
13,True,1000,1500,125,30,5,70.0%,77.1,-372,0.16581,0.4761,-1.48826,0.502,nan,6.941,113.15,18.3
14,True,1000,1500,125,30,5,75.0%,93.65,-326,-0.21178,-0.30701,-1.0705,1.031,2.019,7.815,114.95,16.7
15,True,1000,1500,125,30,5,75.0%,81.0,-25,0.11096,0.51789,-1.07419,0.85,0.577,6.278,115.4,19.65
16,True,1000,1500,125,30,5,75.0%,53.35,-118,-1.26802,-0.79706,-1.25942,0.596,0.826,6.636,123.45,15.45
17,True,1000,1500,125,30,5,75.0%,92.3,-165,0.48485,-0.94995,-1.17587,0.5,0.5,6.151,114.85,11.5
18,False,1000,1500,125,30,5,60.0%,0.0,0,,,,,,,,
19,True,1000,1500,125,30,5,70.0%,98.0,-23,1.24988,2.06839,-0.94443,1.097,1.323,7.025,111.7,45.35
