Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
1,True,935,1565,125,25,5,77.6%,82.4,-220,-1.30995,-1.11041,-1.18919,0.701,1.228,6.222,131.05,20.65
2,True,935,1565,125,25,5,72.6%,74.65,-126,-0.38861,-0.11759,-1.40832,0.516,0.548,7.196,123.5,16.7
3,True,935,1565,125,25,5,72.6%,63.8,-90,-0.28481,0.02399,-1.22559,3.967,0.509,6.581,123.05,21.55
4,True,935,1565,125,25,5,72.6%,91.0,-180,-0.23265,0.64485,-1.41738,0.691,0.756,7.144,118.3,14.1
5,True,935,1565,125,25,5,72.6%,53.15,-124,-0.5043,0.49408,-1.24748,1.238,0.503,7.37,130.0,10.4
6,True,935,1565,125,25,5,72.6%,95.15,-134,-0.1377,-0.94169,-1.24884,0.688,0.572,7.414,124.2,16.2
7,True,935,1565,125,25,5,72.6%,79.5,-147,-0.15139,-0.54398,-1.49531,1.014,0.537,6.748,124.8,31.85
8,True,935,1565,125,25,5,72.6%,65.25,-118,-0.56537,0.42745,-1.2395,3.739,0.724,7.152,130.8,25.8
9,True,935,1565,125,25,5,72.6%,93.65,-92,0.41531,-0.90182,-1.40292,0.683,nan,7.408,117.75,29.75
10,True,935,1565,125,25,5,72.6%,92.7,-54,0.28877,-0.16211,-1.20666,0.555,0.484,7.018,125.6,31.15
11,True,935,1565,125,25,5,72.6%,63.3,-236,0.11888,-0.88554,-1.40479,0.611,0.577,6.919,124.25,16.05
12,True,935,1565,125,25,5,72.6%,97.75,-62,0.54362,-0.19012,-1.25028,0.51,0.548,6.557,119.45,10.65
13,True,935,1565,125,25,5,72.6%,83.1,-396,-0.36845,-1.81209,-1.43168,0.729,0.495,7.283,122.0,43.05
14,True,935,1565,125,25,5,72.6%,96.2,-31,-0.19881,1.59925,-1.38413,0.62,0.707,6.692,116.35,8.1
