Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,True,935,1565,75,30,5,68.6%,94.9,-105,-0.18745,-0.80708,-1.39979,0.523,0.548,7.589,111.1,16.2,75000,34541
2,True,935,1565,75,30,5,71.6%,74.15,-238,-0.15495,-0.04272,-1.03455,2.731,nan,6.596,110.05,23.25,75000,39764
3,True,935,1565,75,30,5,68.6%,92.4,-301,0.77257,0.42176,-1.4062,0.551,0.577,7.05,114.45,16.65,75000,34671
4,True,935,1565,75,30,5,71.6%,91.5,-122,-0.90704,-1.0069,-1.28466,0.73,0.577,6.506,114.7,21.25,75000,47193
5,True,935,1565,75,30,5,74.6%,60.5,-237,-0.44421,-0.21796,-1.11531,1.616,0.548,6.736,125.75,19.9,75000,53172
6,True,935,1565,75,30,5,71.6%,66.9,-332,-0.53924,-0.92899,-1.15563,0.879,0.528,6.693,111.35,22.45,75000,44012
7,True,935,1565,75,30,5,74.6%,91.9,-496,-1.26213,-1.58522,-1.28238,0.578,0.354,6.234,124.15,13.85,75000,61555
8,True,935,1565,75,30,5,71.6%,62.9,-156,-0.34055,-0.79578,-1.05672,0.84,0.577,6.767,112.6,13.55,75000,41793
9,True,935,1565,75,30,5,71.6%,56.9,-169,0.59201,-0.83697,-1.08552,0.807,1.489,6.897,113.6,16.4,75000,39026
10,True,935,1565,75,30,5,71.6%,78.05,-127,0.26727,-0.69498,-1.27152,0.687,nan,6.322,122.35,22.5,75000,46811
11,True,935,1565,75,30,5,71.6%,54.5,-305,-0.12691,0.24551,-1.03392,0.771,0.577,6.916,131.95,8.05,75000,39782
12,True,935,1565,75,30,5,71.6%,93.8,-264,0.21782,-1.24278,-1.19381,0.629,0.548,6.911,121.05,13.25,75000,44858
13,True,935,1565,75,30,5,74.6%,53.3,-404,-1.27408,-1.63204,-1.15595,0.609,0.091,6.186,125.85,9.8,75000,56226
14,True,935,1565,75,30,5,71.6%,56.5,-180,-0.27926,-0.41938,-1.09367,0.709,nan,6.962,117.4,11.9,75000,42673
15,True,935,1565,75,30,5,71.6%,91.35,-204,1.91611,-0.38256,-1.09048,1.196,nan,7.319,113.2,5.6,75000,38982
16,True,935,1565,75,30,5,71.6%,90.3,-189,0.87759,0.29176,-1.08465,0.502,0.548,7.112,108.45,23.8,75000,39034
17,True,935,1565,75,30,5,71.6%,81.35,-292,0.3297,-0.79511,-1.17288,0.557,0.473,6.722,120.85,20.35,75000,44389
18,True,935,1565,75,30,5,68.6%,78.05,-90,0.48234,1.84054,-1.49197,0.693,0.393,7.531,126.8,35.25,75000,37125
19,True,935,1565,75,30,5,71.6%,92.35,-148,0.50776,-0.46688,-1.35398,0.531,nan,6.09,128.45,16.85,75000,49714
20,True,935,1565,75,30,5,71.6%,66.65,-129,-0.64735,-0.42563,-1.18216,0.822,0.548,7.198,115.9,7.95,75000,44595
21,True,935,1565,75,30,5,71.6%,91.35,-317,-0.05351,0.92535,-1.04465,0.492,0.423,7.275,118.0,10.95,75000,41450
22,True,935,1565,75,30,5,71.6%,53.05,-402,-0.2168,-0.54103,-1.05889,0.537,0.535,6.885,113.8,11.75,75000,41850
23,True,935,1565,75,30,5,74.6%,65.75,-110,-0.38087,0.03358,-1.1432,2.068,0.577,6.696,130.05,26.5,75000,51981
24,True,935,1565,75,30,5,71.6%,71.1,-405,-0.03878,0.53073,-1.29051,0.588,0.577,6.096,110.85,15.2,75000,47370
25,True,935,1565,75,30,5,71.6%,72.5,-141,-0.36896,-0.5757,-1.02556,0.559,0.548,6.735,125.1,24.55,75000,40171
26,True,935,1565,75,30,5,71.6%,59.55,-242,-0.1972,0.25356,-1.09965,0.64,0.577,6.389,119.4,21.25,75000,42805
