Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,False,900,1600,10,50,5,64.0%,0.0,0,,,,,,,,,125000,0
2,True,900,1600,10,50,5,65.6%,92.9,-223,-0.60568,-1.58056,-1.14613,0.831,0.548,7.141,108.85,10.6,125000,55802
3,True,900,1600,10,50,5,66.0%,67.9,-426,-0.08451,-1.24093,-1.15206,5.469,nan,6.577,104.1,7.05,125000,67311
4,False,900,1600,10,50,5,64.0%,0.0,0,,,,,,,,,125000,0
5,True,900,1600,10,50,5,66.0%,57.45,-380,-0.25224,-0.61311,-1.24621,0.549,nan,5.832,109.5,10.25,125000,73549
6,True,900,1600,10,50,5,65.6%,90.05,-331,-0.51457,-1.09809,-1.29608,0.664,0.725,6.054,104.95,16.0,125000,62280
7,True,900,1600,10,50,5,65.6%,91.15,-326,-0.10508,-0.66749,-1.2292,0.548,nan,7.005,103.5,27.3,125000,59153
8,False,900,1600,10,50,5,64.0%,0.0,-1,,,,,,,,,125000,0
9,True,900,1600,10,50,5,65.6%,60.75,-326,-0.2568,-1.1608,-1.24325,0.866,nan,6.273,118.35,13.1,125000,59743
10,False,900,1600,10,50,5,64.0%,0.0,0,,,,,,,,,125000,0
11,True,900,1600,10,50,5,66.4%,75.0,-893,-1.05086,0.44233,-1.21574,0.607,0.707,6.308,128.5,12.75,125000,76045
12,False,900,1600,10,50,5,64.0%,0.0,-1,,,,,,,,,125000,0
13,True,900,1600,10,50,5,65.6%,60.55,-407,-0.21641,-1.19812,-1.15751,0.53,0.548,7.003,103.0,9.9,125000,56291
14,True,900,1600,10,50,5,66.0%,90.95,-499,0.06016,-1.19118,-1.16306,3.668,0.574,7.002,114.45,19.85,125000,64935
15,True,900,1600,10,50,5,65.6%,94.55,-224,0.06655,-1.09972,-1.21594,0.587,0.577,6.762,114.8,15.25,125000,50962
16,False,900,1600,10,50,5,64.0%,0.0,0,,,,,,,,,125000,0
17,False,900,1600,10,50,5,64.0%,0.0,-1,,,,,,,,,125000,0
18,True,900,1600,10,50,5,65.6%,56.05,-397,1.15669,-0.17751,-1.2124,0.683,nan,6.277,111.95,11.9,125000,58473
19,False,900,1600,10,50,5,64.0%,0.0,0,,,,,,,,,125000,0
20,True,900,1600,10,50,5,66.0%,60.75,-219,-0.94359,-0.60614,-1.20385,0.5,0.577,5.955,130.95,13.35,125000,71034
