Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,True,900,1600,50,35,5,70.0%,91.8,-245,-0.16565,-1.68065,-1.18493,0.524,0.292,6.516,113.45,15.0,87500,44657
2,True,900,1600,50,35,5,70.0%,91.8,-201,-0.44167,-0.84949,-1.34183,0.631,nan,6.845,124.65,10.05,87500,49183
3,True,900,1600,50,35,5,70.0%,56.9,-265,-0.71454,0.03341,-1.33781,0.513,0.548,6.937,123.4,8.15,87500,49019
4,True,900,1600,50,35,5,70.0%,89.15,-254,-0.62043,-1.38554,-1.35513,0.638,0.915,6.56,120.4,6.85,87500,49767
5,True,900,1600,50,35,5,70.0%,65.65,-215,-0.36453,-1.08716,-1.06819,0.574,0.535,6.801,111.1,15.75,87500,42084
6,True,900,1600,50,35,5,72.0%,83.35,-102,-1.31274,-0.86834,-1.11426,0.659,0.577,6.276,123.85,24.0,87500,53455
7,True,900,1600,50,35,5,70.0%,91.65,-151,-0.48884,-1.36387,-1.05205,4.207,nan,6.539,124.4,13.95,87500,39413
8,True,900,1600,50,35,5,68.0%,95.5,-185,-0.14915,-0.5197,-1.48896,0.713,0.577,6.894,104.3,27.4,87500,36998
9,True,900,1600,50,35,5,72.0%,88.75,-390,-0.70938,-1.05798,-1.23427,0.591,nan,6.073,126.85,13.4,87500,59363
10,True,900,1600,50,35,5,72.0%,89.2,-246,-0.40265,-0.75037,-1.18397,1.408,0.577,6.066,124.55,23.6,87500,57353
11,True,900,1600,50,35,5,68.0%,91.65,-63,-0.50519,-0.39356,-1.45041,6.405,0.444,7.333,96.5,23.15,87500,35717
12,False,900,1600,50,35,5,64.0%,0.0,-1,,,,,,,,,87500,0
13,True,900,1600,50,35,5,70.0%,88.9,-186,0.41731,-0.6773,-1.22884,0.692,nan,6.414,109.8,36.95,87500,45687
14,True,900,1600,50,35,5,70.0%,77.65,-150,-0.91527,-1.43849,-1.2791,1.209,0.577,6.702,117.1,22.6,87500,47029
15,True,900,1600,50,35,5,70.0%,76.9,-109,-1.49761,-0.64222,-1.2706,0.566,nan,6.752,134.7,28.7,87500,46785
16,True,900,1600,50,35,5,72.0%,92.0,-207,-0.9656,-1.48209,-1.11774,0.521,0.548,6.931,123.8,25.0,87500,54164
17,True,900,1600,50,35,5,72.0%,92.6,-235,-0.73693,-1.27721,-1.12966,0.521,0.548,6.703,117.15,13.85,87500,52348
18,True,900,1600,50,35,5,70.0%,76.9,-149,-0.75146,-0.91328,-1.06627,14.12,0.479,6.96,121.25,29.9,87500,39224
19,True,900,1600,50,35,5,70.0%,57.45,-375,-0.48372,2.43372,-1.28874,3.628,nan,6.67,124.5,11.6,87500,47316
20,True,900,1600,50,35,5,70.0%,54.75,-260,-0.14755,-0.8297,-1.28365,1.73,4.035,6.473,122.2,27.35,87500,47163
21,True,900,1600,50,35,5,70.0%,92.05,-144,0.18906,-0.31612,-1.33539,0.564,nan,6.34,124.95,11.75,87500,48922
22,True,900,1600,50,35,5,68.0%,90.4,-242,0.08172,-0.44664,-1.24175,0.502,0.52,7.383,114.2,22.4,87500,32185
23,False,900,1600,50,35,5,64.0%,0.0,0,,,,,,,,,87500,0
24,False,900,1600,50,35,5,64.0%,0.0,-1,,,,,,,,,87500,0
25,True,900,1600,50,35,5,70.0%,79.95,-411,-0.22546,-0.49772,-1.27345,0.549,0.092,6.216,111.35,15.0,87500,46866
26,True,900,1600,50,35,5,70.0%,93.05,-139,-0.24761,-1.36153,-1.24628,0.629,nan,7.118,114.45,13.15,87500,46128
27,True,900,1600,50,35,5,68.0%,94.7,-97,1.62233,-1.11656,-0.98529,3.705,nan,7.05,100.35,7.25,87500,29825
28,True,900,1600,50,35,5,70.0%,57.2,-385,-0.57893,0.4491,-1.24497,0.581,0.548,6.594,116.7,9.35,87500,46094
29,True,900,1600,50,35,5,70.0%,91.2,-227,0.06413,-0.8479,-1.33821,0.598,nan,6.235,123.85,12.95,87500,49035
30,True,900,1600,50,35,5,70.0%,80.5,-217,-0.0238,-0.80111,-1.03235,1.411,3.141,7.084,109.7,19.55,87500,41007
31,True,900,1600,50,35,5,70.0%,60.35,-201,1.92685,-0.34589,-1.07746,1.389,0.548,6.877,123.3,14.45,87500,39103
32,True,900,1600,50,35,5,68.0%,94.75,-100,0.15179,-0.61496,-1.48933,2.699,0.56,7.217,117.15,16.65,87500,37013
33,True,900,1600,50,35,5,70.0%,88.85,-115,-0.98263,-1.06828,-1.15692,0.501,0.577,6.036,130.3,18.3,87500,44040
34,True,900,1600,50,35,5,70.0%,91.1,-471,-0.0838,-0.85236,-1.35489,0.513,nan,7.43,113.25,12.1,87500,49756
35,True,900,1600,50,35,5,70.0%,85.4,-241,-0.01056,0.07339,-1.16839,1.498,0.577,7.16,108.45,25.4,87500,44290
36,True,900,1600,50,35,5,72.0%,64.1,-308,-0.81613,-1.09332,-1.11651,0.563,0.548,6.321,113.15,16.65,87500,54029
37,True,900,1600,50,35,5,72.0%,66.85,-303,-0.29505,-1.50603,-1.12049,0.951,0.577,6.301,117.8,7.5,87500,54405
38,True,900,1600,50,35,5,72.0%,68.65,-258,-0.58413,-1.24604,-1.25075,0.708,0.649,6.329,120.3,25.6,87500,60068
39,True,900,1600,50,35,5,70.0%,88.65,-255,0.43436,-0.66346,-1.06307,0.584,0.577,7.22,111.1,35.95,87500,41957
40,True,900,1600,50,35,5,72.0%,92.1,-214,0.62155,-0.19918,-1.15081,0.71,1.12,6.281,117.5,7.95,87500,51822
41,True,900,1600,50,35,5,68.0%,74.5,-142,-0.49726,-0.46822,-1.498,0.514,0.548,6.378,123.15,14.15,87500,37400
42,True,900,1600,50,35,5,72.0%,55.85,-403,-1.12238,0.07472,-1.12088,0.603,0.548,5.944,120.2,20.75,87500,54435
43,True,900,1600,50,35,5,70.0%,92.65,-297,0.62419,-1.57139,-1.0466,0.574,nan,6.55,121.45,17.9,87500,39502
44,True,900,1600,50,35,5,70.0%,89.7,-191,-0.33004,0.6475,-1.18287,0.791,1.2,6.864,119.3,21.6,87500,44611
45,True,900,1600,50,35,5,68.0%,95.45,-45,0.5258,-0.01326,-1.20498,0.561,0.614,7.806,93.45,15.2,87500,31776
46,True,900,1600,50,35,5,70.0%,75.35,-244,0.01073,-1.37845,-1.13146,0.627,0.548,6.64,104.35,27.3,87500,43492
47,True,900,1600,50,35,5,70.0%,87.35,-110,-0.83015,-0.59882,-1.28135,0.682,0.577,6.808,133.05,27.35,87500,47095
48,True,900,1600,50,35,5,70.0%,95.6,-66,-1.28685,-1.10947,-1.34853,0.51,0.577,6.626,122.65,32.7,87500,49469
49,True,900,1600,50,35,5,70.0%,77.65,-120,-1.6116,-1.04169,-1.20535,0.674,0.478,6.022,128.9,30.1,87500,45124
50,True,900,1600,50,35,5,70.0%,91.0,-93,-1.16665,-0.96683,-1.17637,2.494,0.577,6.762,126.1,13.1,87500,44466
51,False,900,1600,50,35,5,64.0%,0.0,-1,,,,,,,,,87500,0
52,True,900,1600,50,35,5,70.0%,91.8,-308,-0.3319,-1.21148,-1.28098,0.5,0.548,7.208,122.45,24.65,87500,47084
53,True,900,1600,50,35,5,68.0%,62.65,-86,-1.26326,-0.91487,-1.49958,1.038,0.822,7.178,128.7,18.5,87500,37477
54,True,900,1600,50,35,5,68.0%,53.15,-208,1.43294,-0.00632,-1.49876,0.621,0.49,6.996,126.5,15.1,87500,37437
55,False,900,1600,50,35,5,64.0%,0.0,-1,,,,,,,,,87500,0
56,True,900,1600,50,35,5,70.0%,69.7,-266,0.13734,-0.6561,-1.29097,1.017,0.577,6.584,101.2,17.4,87500,47384
57,True,900,1600,50,35,5,68.0%,61.65,-460,0.19884,1.46268,-1.3882,0.548,0.731,6.723,107.8,12.9,87500,34316
58,True,900,1600,50,35,5,70.0%,91.15,-186,-1.02319,-1.5333,-1.1723,0.82,0.874,6.749,111.35,25.95,87500,44376
59,True,900,1600,50,35,5,70.0%,57.65,-259,-1.02676,-0.37396,-1.33883,0.492,0.505,6.584,121.2,23.7,87500,49060
60,True,900,1600,50,35,5,70.0%,89.0,-282,0.21474,0.1085,-1.08773,1.125,0.664,7.018,121.3,43.9,87500,42540
61,True,900,1600,50,35,5,72.0%,55.6,-203,0.05461,1.99227,-1.14631,0.661,nan,6.661,111.15,14.4,87500,51913
62,True,900,1600,50,35,5,70.0%,90.55,-307,0.2431,-0.16105,-1.10298,4.427,0.8,6.668,114.5,16.55,87500,42878
63,True,900,1600,50,35,5,70.0%,62.9,-152,-0.92855,-0.91595,-1.30757,0.545,0.577,6.26,127.6,23.2,87500,47915
64,True,900,1600,50,35,5,70.0%,74.1,-238,-1.33228,-1.38329,-1.35018,0.501,0.548,6.607,125.7,24.9,87500,49542
65,True,900,1600,50,35,5,70.0%,61.85,-439,-0.60579,-1.21407,-1.13673,0.652,0.577,6.3,110.45,12.25,87500,43605
66,False,900,1600,50,35,5,64.0%,0.0,-1,,,,,,,,,87500,0
67,True,900,1600,50,35,5,70.0%,92.35,-139,-0.51221,-0.66923,-1.27042,0.843,0.535,6.248,119.5,14.7,87500,46780
68,True,900,1600,50,35,5,70.0%,77.95,-309,-1.10803,-1.60971,-1.19179,0.761,0.548,7.155,121.4,17.3,87500,44812
69,False,900,1600,50,35,5,64.0%,0.0,0,,,,,,,,,87500,0
