Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,True,900,1600,1,45,1,65.24%,89.75,-481,0.07615,-1.07184,-1.20109,0.498,0.577,5.913,111.6,10.35,112500,79722
2,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
3,True,900,1600,1,45,1,65.2%,64.95,-804,-0.37762,-1.4561,-1.19936,0.985,0.577,6.194,106.75,9.1,112500,76692
4,True,900,1600,1,45,1,65.04%,56.9,-419,-1.01957,-0.57629,-1.19976,0.498,0.296,6.728,109.75,5.1,112500,66850
5,True,900,1600,1,45,1,64.84%,53.65,-364,-0.03389,-1.2137,-1.19922,0.659,0.684,6.634,108.35,19.3,112500,53055
6,True,900,1600,1,45,1,64.88%,88.0,-411,-0.46435,-1.09061,-1.20148,0.628,nan,6.489,114.6,15.6,112500,57123
7,True,900,1600,1,45,1,64.8%,62.65,-341,-0.49353,-1.16068,-1.19718,0.725,0.577,6.8,113.95,10.65,112500,50990
8,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
9,True,900,1600,1,45,1,64.88%,59.35,-942,-0.49704,-0.86827,-1.19808,0.939,0.577,6.454,107.35,9.25,112500,55817
10,True,900,1600,1,45,1,65.12%,90.55,-537,0.3523,-1.41224,-1.20124,0.615,0.577,6.04,105.2,9.2,112500,72200
11,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
12,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
13,True,900,1600,1,45,1,65.0%,54.35,-354,0.2809,-0.86641,-1.20021,0.514,nan,7.011,114.25,9.5,112500,64450
14,True,900,1600,1,45,1,65.0%,71.4,-523,-0.4482,-1.25448,-1.1995,0.491,nan,5.961,111.85,23.55,112500,63058
15,True,900,1600,1,45,1,65.2%,90.15,-480,-0.75909,-0.91314,-1.20129,0.5,0.548,6.711,110.4,22.6,112500,75209
16,True,900,1600,1,45,1,64.92%,55.0,-366,-0.12221,-1.04415,-1.20276,1.691,0.529,6.109,116.95,18.8,112500,59822
17,True,900,1600,1,45,1,64.72%,90.7,-316,0.49185,-0.31381,-1.20556,4.919,nan,6.493,100.45,20.65,112500,47411
18,True,900,1600,1,45,1,64.92%,62.45,-462,-0.52692,-1.01294,-1.19906,1.584,0.577,6.232,107.4,8.1,112500,59204
