Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,True,900,1600,1,45,1,64.76%,68.5,-213,-0.07125,-0.82159,-1.19746,0.509,0.577,6.023,110.65,9.4,112500,48954
2,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
3,True,900,1600,1,45,1,64.84%,56.3,-157,-0.43698,-1.15056,-1.19769,0.654,0.882,5.687,121.1,15.35,112500,53376
4,True,900,1600,1,45,1,64.92%,59.3,-277,-0.19231,-1.1057,-1.19975,0.702,0.577,5.871,125.7,21.05,112500,59353
5,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
6,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
7,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
8,True,900,1600,1,45,1,65.04%,91.1,-496,-0.0224,-0.89124,-1.19839,12.304,0.577,6.524,106.1,7.3,112500,66340
9,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
10,True,900,1600,1,45,1,65.24%,71.0,-489,-0.43785,-1.07981,-1.19961,0.516,0.577,6.634,103.9,9.25,112500,78091
11,True,900,1600,1,45,1,65.08%,91.35,-484,-0.08269,-1.49147,-1.20152,0.516,0.548,5.927,112.3,9.7,112500,69734
12,True,900,1600,1,45,1,65.08%,57.3,-725,-0.74209,-1.48971,-1.19888,0.662,0.548,6.559,118.85,8.95,112500,69060
13,True,900,1600,1,45,1,65.28%,91.55,-282,0.44545,-0.67559,-1.20157,0.704,nan,6.623,115.45,18.15,112500,80129
14,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
15,True,900,1600,1,45,1,64.96%,91.5,-440,0.08356,-1.03833,-1.19887,0.67,nan,6.204,95.1,12.75,112500,60681
16,True,900,1600,1,45,1,65.0%,52.7,-535,0.16541,-1.51332,-1.19818,0.558,0.577,6.808,98.8,11.3,112500,63766
17,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
18,True,900,1600,1,45,1,65.24%,60.45,-302,-0.08856,-1.13566,-1.19901,0.691,0.577,5.649,123.35,14.7,112500,78986
19,True,900,1600,1,45,1,64.88%,67.45,-518,-0.91579,-0.3985,-1.19779,1.396,2.822,6.281,118.7,24.5,112500,55927
20,True,900,1600,1,45,1,64.88%,91.4,-443,0.27683,-1.34051,-1.20301,0.529,0.574,6.581,108.75,8.5,112500,57321
21,True,900,1600,1,45,1,65.2%,67.1,-543,-0.41511,-0.9674,-1.20112,0.514,0.577,6.118,113.6,8.6,112500,77210
22,True,900,1600,1,45,1,65.12%,52.65,-466,-0.52942,-1.23705,-1.19871,0.549,0.577,6.404,102.3,8.4,112500,71422
23,True,900,1600,1,45,1,64.92%,77.5,-287,-0.57176,-1.44076,-1.19827,0.633,0.548,6.039,117.5,14.35,112500,58312
24,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
25,True,900,1600,1,45,1,64.88%,64.65,-401,-0.30037,-1.48759,-1.20302,2.726,0.577,6.796,99.9,10.8,112500,57323
26,True,900,1600,1,45,1,65.0%,90.4,-499,0.03677,-1.27667,-1.19825,0.787,0.577,6.828,101.5,9.6,112500,63831
27,True,900,1600,1,45,1,64.8%,84.6,-356,0.55998,-1.22171,-1.20005,0.566,nan,6.229,117.7,12.1,112500,51896
28,True,900,1600,1,45,1,65.24%,91.3,-422,-0.40132,-1.71556,-1.20077,0.5,nan,5.937,109.05,16.2,112500,79640
