Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
387,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
388,True,900,1600,1,45,1,64.88%,91.2,-252,-0.01769,-1.30254,-1.19763,0.571,0.577,6.985,108.5,11.9,112500,56221
389,True,900,1600,1,45,1,64.96%,65.2,-442,-0.18889,-1.10901,-1.19837,0.633,0.577,6.342,102.95,14.45,112500,61466
390,True,900,1600,1,45,1,65.04%,63.45,-354,-0.59362,-1.40988,-1.19827,0.716,nan,6.236,114.1,11.45,112500,66171
391,True,900,1600,1,45,1,65.04%,72.8,-555,-0.32256,-1.2118,-1.19917,0.611,0.627,6.503,98.45,22.75,112500,65650
392,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
393,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
394,True,900,1600,1,45,1,64.92%,83.9,-487,-0.54096,0.09459,-1.19785,0.516,0.577,5.719,116.35,12.0,112500,58526
395,True,900,1600,1,45,1,65.04%,65.2,-613,-0.23474,-1.64016,-1.19862,0.528,nan,6.652,113.55,10.45,112500,66479
396,True,900,1600,1,45,1,65.16%,58.6,-534,-0.457,-0.72608,-1.19864,0.593,nan,5.428,121.1,7.2,112500,73554
397,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
398,True,900,1600,1,45,1,65.16%,53.55,-351,-0.57474,-0.22779,-1.20207,0.739,nan,5.834,120.1,12.4,112500,74889
399,True,900,1600,1,45,1,65.0%,63.9,-598,-0.8214,-1.09599,-1.19962,5.279,nan,5.927,121.7,8.35,112500,63035
400,True,900,1600,1,45,1,64.88%,61.6,-244,-0.89431,-0.38003,-1.2028,0.5,0.577,6.412,128.2,15.45,112500,57295
401,True,900,1600,1,45,1,65.12%,58.4,-329,-0.2732,-1.15126,-1.20232,0.54,0.577,6.336,104.7,10.35,112500,70092
