Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,True,900,1600,1,45,1,64.88%,61.45,-323,0.21327,-1.21789,-1.20438,0.849,0.579,6.336,108.8,14.85,112500,57482
2,True,900,1600,1,45,1,64.8%,67.45,-266,-0.49215,-0.8255,-1.20207,0.589,nan,6.767,108.45,15.1,112500,52151
3,True,900,1600,1,45,1,65.0%,88.9,-521,-0.75584,-0.9459,-1.19991,0.537,0.477,6.56,104.25,26.1,112500,64386
4,True,900,1600,1,45,1,64.84%,54.45,-185,-0.86878,-1.00758,-1.1988,0.612,0.577,6.237,106.6,11.15,112500,54182
5,True,900,1600,1,45,1,64.8%,66.65,-420,0.31915,-1.33358,-1.19764,0.611,0.548,7.118,113.45,14.8,112500,51440
6,True,900,1600,1,45,1,64.72%,66.5,-346,0.18603,-0.53006,-1.20079,0.581,nan,6.876,103.4,18.85,112500,46969
7,True,900,1600,1,45,1,65.12%,92.15,-279,-0.37465,-1.08444,-1.19851,0.512,nan,6.516,119.45,6.5,112500,71157
8,True,900,1600,1,45,1,65.0%,61.0,-536,0.13138,-0.54531,-1.19856,2.477,0.837,6.603,115.95,8.6,112500,63997
9,True,900,1600,1,45,1,64.92%,65.1,-527,-0.03656,-1.06749,-1.20075,1.171,0.577,6.141,121.6,13.5,112500,57860
10,True,900,1600,1,45,1,64.88%,72.75,-346,0.17617,0.00406,-1.20428,0.675,0.707,6.26,115.3,13.1,112500,57470
11,True,900,1600,1,45,1,64.84%,91.15,-542,0.34413,-0.82395,-1.19795,0.531,0.67,6.633,102.0,13.55,112500,53975
12,True,900,1600,1,45,1,64.8%,56.15,-439,0.86218,-0.61553,-1.20296,0.541,0.547,6.842,121.9,14.2,112500,52250
13,True,900,1600,1,45,1,65.0%,52.75,-415,0.00172,-1.02006,-1.19888,0.509,0.577,6.369,111.6,15.45,112500,64117
14,True,900,1600,1,45,1,65.12%,62.25,-500,-0.82996,-1.62369,-1.20007,1.483,0.548,6.11,115.15,13.7,112500,70456
15,True,900,1600,1,45,1,64.92%,66.15,-426,0.93909,-1.31631,-1.19815,0.636,0.965,6.393,111.7,15.15,112500,58930
16,True,900,1600,1,45,1,65.04%,57.25,-637,-0.45953,-0.83053,-1.20056,0.589,0.705,6.698,107.35,4.5,112500,67031
17,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
18,True,900,1600,1,45,1,65.0%,83.8,-564,-0.31066,-0.95687,-1.20075,0.483,0.49,6.384,109.95,22.7,112500,64555
19,True,900,1600,1,45,1,65.12%,57.8,-525,-0.44656,-1.22462,-1.20215,0.736,0.577,6.408,121.65,12.7,112500,70114
20,True,900,1600,1,45,1,65.04%,62.2,-613,0.06564,-1.26826,-1.20129,0.51,nan,6.133,115.35,29.7,112500,65262
21,True,900,1600,1,45,1,65.08%,83.15,-416,-0.81684,-1.21582,-1.20126,0.598,nan,6.571,116.7,17.8,112500,69684
22,True,900,1600,1,45,1,64.96%,91.65,-367,0.13755,-1.46489,-1.19801,0.511,nan,6.394,117.8,16.1,112500,61046
23,True,900,1600,1,45,1,64.8%,60.75,-247,-0.62382,-0.85126,-1.19955,0.53,0.577,6.594,121.45,6.75,112500,51823
24,True,900,1600,1,45,1,64.88%,91.3,-625,0.59633,-1.36922,-1.20243,0.509,0.174,6.497,103.3,22.15,112500,57249
25,True,900,1600,1,45,1,64.84%,62.45,-289,-0.34346,-1.06387,-1.20339,0.652,0.814,6.659,95.8,15.25,112500,52640
26,True,900,1600,1,45,1,64.8%,75.4,-161,-0.36265,-0.05886,-1.19709,1.0,0.619,6.708,116.1,9.9,112500,51086
27,True,900,1600,1,45,1,65.0%,65.45,-321,-0.1458,-1.13374,-1.20099,0.506,0.577,6.404,101.45,24.45,112500,62814
28,True,900,1600,1,45,1,65.12%,73.9,-635,-0.55339,-1.41922,-1.19857,7.243,0.577,5.766,117.05,20.25,112500,71013
29,True,900,1600,1,45,1,65.12%,85.95,-970,-0.15148,-1.00572,-1.2021,0.507,0.452,6.548,105.3,20.7,112500,72366
30,True,900,1600,1,45,1,64.92%,71.85,-636,-0.24667,-1.58216,-1.19791,0.548,nan,6.378,88.2,3.8,112500,58473
31,True,900,1600,1,45,1,64.92%,88.6,-223,-0.95217,-1.14944,-1.20066,0.688,0.544,6.661,103.1,14.6,112500,57871
32,True,900,1600,1,45,1,64.8%,91.95,-310,-0.26434,-1.33775,-1.20336,8.628,0.53,5.802,95.6,15.65,112500,50165
33,True,900,1600,1,45,1,64.96%,71.2,-414,-0.57272,-1.25636,-1.20245,0.512,0.577,6.363,101.2,12.75,112500,62310
34,True,900,1600,1,45,1,65.08%,72.5,-229,0.04047,-0.86192,-1.19861,0.5,0.577,6.156,114.5,6.25,112500,68917
35,True,900,1600,1,45,1,65.24%,67.8,-445,-0.57718,-1.31293,-1.2006,0.591,0.509,5.8,110.4,16.65,112500,79594
36,True,900,1600,1,45,1,64.68%,90.4,-336,0.53701,-0.17367,-1.19604,0.851,0.5,6.718,104.0,25.3,112500,43509
37,True,900,1600,1,45,1,65.24%,76.4,-396,-0.53354,-0.74981,-1.20054,0.523,0.577,5.908,104.45,7.8,112500,77845
38,True,900,1600,1,45,1,64.68%,91.5,-212,-0.26138,-1.3501,-1.20129,2.594,0.577,6.952,81.2,17.6,112500,42846
39,True,900,1600,1,45,1,64.76%,93.8,-267,1.17311,-1.20581,-1.19687,0.743,0.577,6.431,106.1,12.5,112500,48736
40,True,900,1600,1,45,1,65.0%,53.15,-678,-0.06528,-0.46803,-1.20078,0.509,0.707,6.691,106.15,14.1,112500,62843
41,True,900,1600,1,45,1,65.28%,64.15,-398,-0.92488,-1.20534,-1.19895,0.571,0.479,6.094,129.65,24.4,112500,80960
42,True,900,1600,1,45,1,65.0%,61.4,-392,-0.1137,-0.39943,-1.19948,0.521,nan,6.667,116.7,18.0,112500,64284
43,True,900,1600,1,45,1,65.12%,68.85,-534,-0.88838,-1.64156,-1.19865,0.522,0.577,5.497,114.55,5.4,112500,71379
44,True,900,1600,1,45,1,64.88%,70.65,-456,-0.22978,0.6673,-1.20203,0.856,0.577,6.087,104.9,21.9,112500,55234
45,True,900,1600,1,45,1,64.96%,90.9,-245,0.28564,-1.28981,-1.19835,0.834,0.548,6.954,109.2,9.1,112500,61457
46,True,900,1600,1,45,1,65.28%,71.55,-371,-0.55615,-1.46841,-1.20195,10.114,22.274,6.374,112.0,7.55,112500,82444
47,True,900,1600,1,45,1,65.16%,56.95,-568,-0.6305,-1.29982,-1.19894,0.582,0.577,5.942,111.65,8.0,112500,73315
48,True,900,1600,1,45,1,65.24%,63.85,-948,-0.1539,-0.71344,-1.19996,0.534,0.548,6.368,100.5,28.75,112500,77988
49,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
50,True,900,1600,1,45,1,65.0%,61.9,-358,0.49883,-1.24524,-1.2024,0.499,0.472,6.038,112.65,6.75,112500,64832
51,True,900,1600,1,45,1,64.88%,69.25,-506,-0.97529,-0.89,-1.19911,0.63,0.354,6.464,113.3,18.9,112500,56729
52,True,900,1600,1,45,1,65.0%,56.35,-470,-0.37578,-1.08087,-1.20064,0.568,nan,6.592,104.65,8.25,112500,62863
53,True,900,1600,1,45,1,64.92%,54.45,-296,-0.15669,0.42521,-1.2029,0.903,nan,5.947,119.65,12.15,112500,57636
54,True,900,1600,1,45,1,65.04%,80.5,-244,-0.69951,-1.04486,-1.20341,0.609,0.548,7.142,115.9,21.8,112500,65015
55,True,900,1600,1,45,1,65.04%,72.0,-816,-0.54706,-0.7079,-1.20033,0.512,0.577,6.129,108.5,11.5,112500,66981
56,True,900,1600,1,45,1,64.72%,66.6,-169,-0.42817,-0.51038,-1.20332,0.717,0.577,6.553,102.45,18.3,112500,47218
57,True,900,1600,1,45,1,65.0%,72.1,-401,-1.02621,-1.65708,-1.20211,0.514,0.577,6.227,108.5,5.45,112500,64787
58,True,900,1600,1,45,1,65.04%,55.95,-287,-0.3516,-1.10442,-1.19827,0.492,0.548,6.364,104.3,10.9,112500,66133
59,True,900,1600,1,45,1,65.12%,89.05,-243,-1.01275,-1.10105,-1.20133,0.51,0.548,6.249,113.65,17.65,112500,72219
60,True,900,1600,1,45,1,64.72%,54.2,-246,0.7936,-0.21904,-1.19641,0.629,0.707,6.391,109.2,13.05,112500,46114
61,True,900,1600,1,45,1,64.8%,91.15,-473,-0.23692,0.321,-1.19948,1.12,2.842,6.373,101.95,12.55,112500,51811
62,True,900,1600,1,45,1,64.76%,93.15,-244,0.69355,-0.93368,-1.20496,2.86,0.786,6.039,105.5,10.9,112500,49907
63,True,900,1600,1,45,1,64.84%,59.75,-288,0.38859,-0.90381,-1.19923,0.549,nan,6.12,99.3,16.7,112500,54263
64,True,900,1600,1,45,1,64.88%,56.05,-315,-0.05678,-0.85325,-1.19785,0.55,0.707,6.326,113.35,8.6,112500,55900
65,True,900,1600,1,45,1,65.0%,88.55,-768,-0.10466,3.0354,-1.20099,0.508,0.577,6.286,127.2,19.05,112500,62814
66,True,900,1600,1,45,1,65.08%,90.55,-318,-0.4193,-1.02178,-1.20114,0.677,0.527,5.861,127.2,26.75,112500,69661
67,True,900,1600,1,45,1,64.72%,89.6,-422,0.20735,-0.85595,-1.19679,0.548,0.479,7.058,96.9,32.5,112500,45878
68,True,900,1600,1,45,1,65.24%,64.8,-260,-0.88037,-1.30483,-1.19886,0.515,0.577,5.558,114.7,13.35,112500,78482
69,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
70,True,900,1600,1,45,1,64.8%,92.15,-330,-0.35321,-0.40907,-1.20055,0.5,0.577,6.91,93.05,21.4,112500,51964
71,True,900,1600,1,45,1,64.88%,57.25,-324,0.56703,-1.08663,-1.19824,0.671,0.535,6.37,110.1,11.4,112500,55770
72,True,900,1600,1,45,1,64.76%,57.5,-287,-0.58483,-0.68988,-1.20454,0.642,0.577,6.787,106.75,10.75,112500,49868
73,True,900,1600,1,45,1,65.0%,75.35,-523,0.0567,-1.26579,-1.20033,0.532,0.577,6.711,120.7,13.7,112500,64474
74,True,900,1600,1,45,1,65.0%,91.3,-394,0.1811,-1.33394,-1.19874,6.354,1.408,6.464,112.5,25.7,112500,64068
75,True,900,1600,1,45,1,64.84%,77.7,-612,-0.8634,-1.2288,-1.20046,0.664,0.577,6.101,120.35,30.0,112500,52900
76,True,900,1600,1,45,1,64.92%,84.85,-381,-0.49805,-1.32986,-1.19935,0.687,0.577,6.504,114.35,16.25,112500,58062
77,True,900,1600,1,45,1,64.92%,58.95,-361,-0.58911,-0.81989,-1.20294,0.664,nan,7.386,104.0,19.5,112500,59846
78,True,900,1600,1,45,1,64.84%,69.05,-202,-0.3141,-1.22773,-1.19736,0.787,nan,6.592,114.9,28.7,112500,53638
79,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
80,True,900,1600,1,45,1,64.76%,91.1,-427,0.2134,-1.48551,-1.19945,0.567,0.577,7.258,99.95,14.5,112500,49310
81,True,900,1600,1,45,1,65.12%,59.75,-124,-0.98563,-0.47408,-1.20157,0.522,0.577,6.135,128.35,0.35,112500,72266
82,True,900,1600,1,45,1,64.84%,67.95,-578,-0.34873,-0.43478,-1.1985,0.674,nan,6.614,102.75,17.85,112500,54118
83,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
84,True,900,1600,1,45,1,65.16%,88.0,-596,-0.09428,1.07357,-1.2004,0.824,0.577,5.723,114.7,27.3,112500,74523
85,True,900,1600,1,45,1,65.04%,67.15,-353,-0.4076,-1.18315,-1.2019,0.522,0.577,6.137,113.1,6.0,112500,67279
86,True,900,1600,1,45,1,64.88%,91.2,-362,0.16365,-1.0311,-1.19991,0.648,nan,6.303,121.4,16.1,112500,56881
87,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
88,True,900,1600,1,45,1,64.84%,72.55,-356,0.21373,0.61141,-1.2001,0.511,0.577,6.246,124.2,17.45,112500,54408
89,True,900,1600,1,45,1,64.84%,89.05,-243,0.00858,-0.63655,-1.19736,0.532,nan,6.691,105.55,18.5,112500,53640
90,True,900,1600,1,45,1,64.96%,92.75,-420,0.01091,-1.47629,-1.20321,0.638,0.577,6.671,101.5,26.9,112500,60085
91,True,900,1600,1,45,1,65.16%,90.95,-332,-0.56716,-1.00028,-1.19926,1.282,0.577,6.139,104.3,17.35,112500,73182
92,True,900,1600,1,45,1,65.0%,84.7,-309,-0.32647,-1.43083,-1.20078,0.527,0.577,6.8,112.2,15.15,112500,64561
93,True,900,1600,1,45,1,65.0%,81.05,-378,0.66031,-0.22964,-1.19828,0.77,0.707,5.596,108.95,9.1,112500,63847
94,True,900,1600,1,45,1,65.08%,56.55,-299,-0.91222,-0.749,-1.19916,0.539,0.521,5.766,115.8,14.1,112500,68174
95,True,900,1600,1,45,1,64.76%,93.85,-208,0.29093,-0.59087,-1.19682,0.664,0.548,7.491,101.2,30.6,112500,48699
96,True,900,1600,1,45,1,65.04%,84.0,-274,-0.56979,-0.86228,-1.19853,0.923,1.681,6.465,124.55,4.25,112500,65877
97,True,900,1600,1,45,1,64.8%,91.95,-462,0.07974,-1.76219,-1.20407,0.559,nan,6.671,101.05,21.6,112500,52365
98,True,900,1600,1,45,1,64.8%,90.2,-342,-0.24231,-1.09551,-1.19863,1.335,0.577,6.369,127.0,16.7,112500,51667
99,True,900,1600,1,45,1,64.96%,86.45,-276,-1.28654,-1.30424,-1.19854,0.567,0.548,6.193,121.75,23.35,112500,61530
100,True,900,1600,1,45,1,65.04%,85.2,-522,-0.07829,-1.71879,-1.19929,0.819,nan,5.713,122.4,9.3,112500,65619
101,True,900,1600,1,45,1,64.92%,56.05,-447,0.32487,-0.92372,-1.19782,0.518,nan,7.118,94.9,11.6,112500,58719
102,True,900,1600,1,45,1,65.04%,52.55,-666,0.28527,1.20818,-1.20231,1.042,0.577,6.415,105.85,7.85,112500,67347
103,True,900,1600,1,45,1,64.88%,66.4,-421,0.08401,-1.40968,-1.20397,0.63,0.577,6.73,108.75,27.5,112500,55072
104,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
105,True,900,1600,1,45,1,64.76%,69.1,-244,-0.38368,0.40593,-1.19959,8.428,1.434,6.78,104.5,24.05,112500,47987
106,True,900,1600,1,45,1,64.92%,58.15,-283,-0.0084,0.09012,-1.19859,0.785,0.591,6.16,114.2,16.85,112500,59081
107,True,900,1600,1,45,1,64.92%,61.15,-616,0.74513,1.83232,-1.2002,0.831,nan,5.948,122.65,8.4,112500,59435
108,True,900,1600,1,45,1,64.92%,57.45,-406,-0.12947,-1.46645,-1.19832,1.052,0.579,6.294,114.2,14.7,112500,58295
