Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,482,64.0%,102.15,-4,0.74735,0.03163,0,17.459,29.022,11.081,41.4,27.65
1,482,64.0%,99.54,-2,2.13618,0.15631,0,3.522,6.298,5.764,51.9,22.55
2,482,64.0%,101.2,-8,-0.13898,-0.41581,0,10.473,13.558,9.209,39.35,21.55
3,482,64.0%,100.3,-14,0.58408,-1.03613,0,19.297,1.914,14.526,42.55,31.85
4,482,64.0%,98.92,-6,0.39414,-0.33993,0,5.939,1.156,6.59,36.6,20.8
5,482,64.04%,98.5,-5,-0.2355,-0.68287,0.60382,1.123,1.597,7.975,38.2,21.85
6,482,64.04%,95.72,-2,0.04524,0.36315,0,1.809,nan,6.877,35.85,30.95
7,482,64.04%,97.06,3,-0.41062,-0.50844,0,1.747,0.854,8.93,29.0,26.6
8,482,64.04%,97.82,2,-0.2763,0.00355,0,1.177,1.097,8.706,33.95,26.85
9,482,64.04%,99.61,8,-0.16275,-0.53758,0,4.312,12.771,12.344,32.95,16.1
10,482,64.08%,97.3,-9,-0.13707,0.31809,-1.73168,22.168,0.957,9.989,34.95,13.9
11,482,64.08%,91.65,-8,-0.0401,-0.27522,0,19.865,0.681,10.433,43.4,37.4
12,482,64.08%,84.06,-7,-1.05481,0.15128,0,9.523,0.55,5.548,35.75,15.85
13,482,64.08%,91.18,4,-0.94619,-0.59913,0,16.552,0.707,8.458,40.65,20.25
14,482,64.08%,89.5,5,-1.22538,-0.847,0,4.005,0.856,5.168,32.05,29.15
15,482,64.08%,95.1,-6,-0.41428,0.9793,-1.94897,3.233,0.496,2.34,45.65,22.5
16,482,64.12%,94.23,-43,-0.71986,-1.13861,0,14.427,0.894,9.203,32.9,16.85
17,482,64.12%,92.38,-66,-0.03423,-1.09073,0,2.201,0.822,12.666,40.5,16.8
18,482,64.12%,90.55,-48,-1.11412,0.10076,0,5.34,0.577,7.77,33.4,26.25
19,482,64.12%,92.67,-67,0.4082,-0.39689,0,2.536,0.472,4.859,30.6,13.2
20,482,64.12%,98.62,-45,-0.18185,-0.15472,-0.70516,2.206,0.837,9.962,26.0,11.0
21,482,64.16%,96.29,-47,0.34116,0.84402,0,15.966,1.919,11.457,31.05,21.95
22,482,64.16%,97.24,-44,-0.20038,-0.67955,0,1.542,1.225,6.293,21.45,13.35
23,482,64.16%,94.96,-47,-1.15917,-0.25109,0,13.457,0.577,6.918,12.85,10.25
24,482,64.16%,94.83,-48,0.10824,-0.13427,0,18.824,0.86,12.327,22.75,22.4
25,482,64.16%,92.7,-64,-0.91753,-0.82651,10.25207,3.012,1.178,2.771,24.1,22.75
26,482,64.2%,93.68,-37,-0.69638,-1.34733,0,0.592,0.577,5.213,29.05,22.4
27,482,64.2%,87.59,-48,-0.81257,-0.65549,0,1.246,1.013,4.969,34.5,29.1
28,482,64.2%,91.69,-45,-0.80023,-1.05636,0,0.615,0.577,3.489,24.15,18.7
29,482,64.2%,92.73,-40,-0.68298,-0.7148,0,1.571,0.5,1.654,20.7,15.5
30,482,64.2%,94.43,-58,0.09057,0.73742,0,8.566,0.48,6.442,29.0,18.35
31,482,64.24%,86.9,-51,-1.05566,-0.59997,3.49572,8.801,0.548,6.862,38.5,9.5
32,482,64.24%,78.14,-75,-1.03756,-1.67442,0,0.931,0.548,5.409,46.55,19.75
33,482,64.24%,81.84,-69,-0.88221,-1.1003,0,6.618,0.445,6.489,40.3,23.15
34,482,64.24%,76.8,-102,-0.90824,-0.88107,0,1.025,0.577,5.21,39.85,20.55
35,482,64.24%,79.44,-65,-0.89796,-0.69606,0,1.264,0.487,6.454,41.5,22.2
36,482,64.28%,80.42,-68,-1.06287,-0.58963,-1.30117,4.812,1.28,5.731,34.5,29.4
37,482,64.28%,92.8,-50,-0.60104,-0.41864,0,0.585,0.5,11.123,30.75,16.5
38,482,64.28%,90.25,-109,0.64044,-1.11,0,12.157,0.713,4.776,30.3,20.15
39,482,64.28%,82.55,-118,0.24838,-0.10067,0,0.54,0.704,2.322,38.65,18.25
40,482,64.28%,90.77,-106,-0.39228,0.00059,0,1.429,0.707,3.653,26.5,13.25
41,482,64.32%,84.98,-118,-0.8303,-1.22157,-2.00772,1.294,0.856,3.381,38.3,18.3
42,482,64.32%,93.49,-100,-0.6698,2.09939,0,1.299,0.74,2.295,20.45,7.95
43,482,64.32%,88.86,-131,-0.71125,2.05842,0,7.167,0.548,9.798,17.15,16.1
44,482,64.32%,81.72,-159,-1.17645,-0.44045,0,0.577,0.492,2.119,26.05,14.15
45,482,64.32%,86.72,-153,-0.98896,-1.36324,0,3.164,0.548,13.076,26.4,9.0
46,482,64.32%,85.36,-172,0.39694,-0.17199,-1.4027,2.777,0.644,4.623,33.95,23.8
47,482,64.36%,76.82,-170,-0.17112,-0.25694,0,2.023,3.093,4.717,37.1,15.5
48,482,64.36%,69.13,-179,-0.25484,-0.91078,0,5.019,0.577,5.794,41.6,11.55
49,482,64.36%,59.63,-198,-1.16865,-0.78173,0,0.818,0.816,5.189,25.4,15.75
50,482,64.36%,67.04,-166,0.65447,-0.52447,0,5.027,nan,6.085,37.15,19.05
51,482,64.36%,80.76,-138,-1.20062,-1.07694,2.72497,3.704,0.577,5.554,39.7,25.75
52,482,64.4%,82.49,-120,-0.48786,-0.16354,0,6.532,0.548,4.339,44.5,43.85
53,482,64.4%,50.31,-168,-0.08244,-0.23079,0,1.239,3.463,2.988,21.55,11.65
54,482,64.4%,76.41,-138,-1.20124,1.3161,0,1.157,0.707,1.388,43.3,32.9
55,482,64.4%,61.13,-158,-0.51381,0.51616,0,3.337,0.707,1.611,44.15,12.65
56,482,64.4%,82.26,-131,-1.24061,-0.86826,0,7.046,0.577,3.07,29.9,13.75
57,482,64.44%,85.79,-150,-0.12511,-0.4638,13.75012,4.991,0.707,3.752,30.6,14.7
58,482,64.44%,80.75,-125,-1.03365,0.95165,0,0.849,0.535,2.068,35.25,32.55
59,482,64.44%,77.48,-120,-0.89712,-1.01941,0,0.685,nan,6.885,34.45,17.55
60,482,64.44%,80.42,-135,-1.44173,-0.51654,0,1.701,nan,4.223,34.1,14.65
61,482,64.44%,47.24,-185,0.06966,0.13076,0,0.815,0.707,7.921,29.45,6.9
62,482,64.48%,31.98,-208,-0.56852,-0.83418,-0.52085,2.26,0.548,1.624,24.35,9.7
63,482,64.48%,57.96,-163,-0.9595,-1.49792,0,0.722,nan,3.678,52.6,22.35
64,482,64.48%,80.9,-120,-1.14959,-0.6774,0,0.503,0.519,9.265,37.15,8.1
65,482,64.48%,65.9,-133,-0.6942,-0.91405,0,9.249,0.707,4.477,38.95,19.25
66,482,64.48%,70.13,-131,-1.11829,-0.94635,0,2.256,nan,3.941,41.2,17.8
67,482,64.52%,60.44,-145,-1.28237,-1.23749,-1.92127,10.885,0.707,4.924,56.3,7.7
68,482,64.52%,59.6,-136,-1.54433,-1.06297,0,1.245,1.62,3.241,62.85,6.85
69,482,64.52%,88.57,-131,1.31182,0.65975,0,1.459,0.577,2.527,22.4,20.35
70,482,64.52%,82.65,-189,-0.65751,0.34593,0,0.711,0.913,0.622,19.6,13.15
71,482,64.52%,88.81,-162,1.39831,-0.24109,0,0.61,0.577,0.693,16.35,8.85
72,482,64.52%,73.07,-192,-1.55517,-1.63931,-1.78628,0.875,nan,0.874,44.1,16.15
73,482,64.56%,77.79,-157,-0.89097,-0.68674,0,2.609,nan,4.484,32.0,17.55
74,482,64.56%,80.47,-175,-1.22324,0.45648,0,0.548,0.707,0.69,31.6,10.75
75,482,64.56%,80.92,-224,-0.71681,-1.25385,0,12.356,0.707,6.282,32.8,18.95
76,482,64.56%,87.81,-195,0.13578,-0.69447,0,0.5,nan,5.307,14.8,5.6
