Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,574,64.0%,103.75,2,0.40931,-1.20828,0,6.585,2.975,7.964,32.45,20.2
1,574,64.0%,100.45,3,0.52683,0.2216,0,5.761,7.701,7.278,34.65,19.65
2,574,64.0%,97.29,3,0.03186,-0.69357,0,4.754,8.553,12.546,30.15,27.05
3,574,64.0%,101.81,8,-0.19539,-0.75038,0,15.027,6.32,8.964,46.55,37.4
4,574,64.0%,97.91,-1,0.16709,-0.95002,0,3.369,0.577,10.624,49.75,21.55
5,574,64.0%,96.67,-4,-0.67619,-0.77801,0,3.797,0.548,10.805,29.4,18.3
6,574,64.0%,98.74,-6,-0.65804,-0.41453,0,2.82,0.56,10.251,27.05,21.3
7,574,64.0%,98.69,-11,-0.4674,-0.97021,0,1.767,1.323,12.873,32.85,26.75
8,574,64.0%,98.39,-22,-0.04049,0.37544,0,1.712,0.535,4.794,31.95,28.5
9,574,64.0%,90.2,-19,-0.21985,-0.63334,0,2.194,0.626,3.719,30.55,19.85
10,574,64.0%,95.22,-23,-0.00381,0.66717,0,10.804,29.115,8.022,32.8,16.55
11,574,64.0%,95.67,-21,-0.3096,-1.43431,0,6.517,0.535,9.853,28.0,26.55
12,574,64.0%,91.77,-38,-0.89767,-1.24032,0,0.743,0.548,6.916,29.35,27.15
13,574,64.0%,98.8,-27,0.64545,0.01824,0,3.918,1.822,8.442,34.0,18.15
14,574,64.0%,92.84,-43,-0.55532,-0.25115,0,0.928,0.548,7.264,31.0,17.4
15,574,64.0%,98.04,-34,-0.76631,-0.39502,0,8.52,3.159,7.327,23.9,21.15
16,574,64.0%,96.29,-75,-0.67624,-0.31972,0,2.721,0.648,4.509,24.7,13.75
17,574,64.0%,93.81,-35,-0.32345,0.12227,0,1.383,0.535,7.426,34.6,18.25
18,574,64.0%,90.53,-32,-0.75573,-0.87497,0,7.641,3.808,4.27,32.9,13.25
19,574,64.0%,93.39,-52,0.13781,-0.12939,0,1.05,0.544,4.682,40.0,19.1
20,574,64.0%,93.59,-45,-0.21276,2.41827,0,0.657,0.548,4.916,38.9,15.3
21,574,64.0%,97.2,-25,-0.90669,2.92055,-0.22011,6.522,1.121,3.439,22.8,17.6
22,574,64.4%,93.18,-87,-1.01137,-1.56525,0,0.838,0.548,11.738,28.1,21.8
23,574,64.4%,91.25,-105,-0.8848,1.38702,0,6.18,2.305,8.213,20.85,18.7
24,574,64.4%,90.49,-91,-1.00391,-1.37959,0,3.911,0.452,11.569,27.7,26.65
25,574,64.4%,80.35,-113,-0.71634,-0.50169,0,4.257,0.816,11.048,38.85,22.55
26,574,64.4%,94.25,-71,0.07956,0.0132,0,4.853,0.577,2.175,26.05,15.25
27,574,64.4%,90.13,-121,-0.41468,0.35432,0,1.3,0.577,7.997,33.4,17.3
28,574,64.4%,92.06,-124,-0.2637,-0.14258,0,1.769,0.5,6.397,23.0,12.05
29,574,64.4%,88.46,-107,-0.25537,-0.68986,0,1.396,0.707,1.77,37.9,11.05
30,574,64.4%,69.61,-155,-0.28628,-0.30053,0,0.647,0.957,4.56,37.05,24.8
31,574,64.4%,86.62,-120,-0.12965,-0.64486,0,1.004,0.852,4.734,35.2,23.85
32,574,64.4%,71.97,-147,0.13326,-0.18517,0,10.604,29.613,4.916,35.8,21.25
33,574,64.4%,85.21,-110,-0.39577,-0.38485,0,9.219,0.548,8.335,42.25,12.7
34,574,64.4%,43.24,-183,-0.81661,1.07805,0,1.034,0.535,2.734,39.5,10.05
35,574,64.4%,52.66,-159,-0.84548,-1.22229,0,0.64,0.964,5.144,39.35,15.85
36,574,64.4%,87.14,-99,-0.81414,-0.35933,0,2.815,0.5,3.277,34.3,12.5
37,574,64.4%,85.23,-89,-0.20094,-0.95965,0,0.892,nan,2.99,31.2,18.3
38,574,64.4%,62.59,-138,-0.48777,-0.65954,0,7.907,0.707,3.73,31.35,26.5
39,574,64.4%,88.73,-79,-0.54682,0.47594,0,23.022,0.577,9.103,26.6,9.65
40,574,64.4%,88.87,-174,-0.4135,1.92031,0,3.148,0.577,1.584,20.9,20.05
41,574,64.4%,79.55,-191,-1.39908,-1.53458,0,2.013,0.548,1.287,46.65,15.75
42,574,64.4%,78.18,-194,-1.1573,-0.44361,0,0.806,0.577,4.288,39.0,12.3
43,574,64.4%,64.05,-257,-1.30432,-1.24238,-1.95937,0.919,nan,3.086,55.85,20.9
44,574,64.8%,86.28,-201,-0.98449,-0.96039,0,0.668,nan,2.387,18.1,14.8
45,574,64.8%,84.74,-203,-0.55611,-0.57552,0,7.18,0.607,3.457,28.5,14.25
46,574,64.8%,86.8,-193,-0.11475,-0.45835,0,0.919,0.535,1.962,29.75,19.1
47,574,64.8%,73.02,-208,-1.09835,0.01137,0,2.187,0.486,1.317,60.7,20.4
48,574,64.8%,34.84,-261,-0.00347,-0.28204,0,1.628,1.157,1.18,16.3,11.4
49,574,64.8%,61.66,-216,-1.24271,-1.0303,0,2.571,0.577,1.833,55.85,18.0
50,574,64.8%,83.81,-162,-0.86963,-1.29592,0,3.848,0.577,5.733,33.75,15.65
51,574,64.8%,87.01,-184,0.4186,-1.22713,0,5.053,0.748,4.047,29.6,28.05
52,574,64.8%,35.47,-309,6.71746,5.93869,0,0.529,0.577,3.031,45.25,8.45
53,574,64.8%,66.73,-241,-1.55159,-1.47881,0,0.713,0.577,1.201,59.05,10.35
54,574,64.8%,82.24,-296,-0.68709,0.73895,0,0.782,0.577,1.538,32.4,21.9
55,574,64.8%,84.35,-299,-1.21607,-1.37575,0,0.528,nan,0.624,17.25,17.25
56,574,64.8%,59.5,-304,-1.36372,-0.99241,0,0.538,nan,2.354,56.25,6.95
57,574,64.8%,41.52,-305,-0.19102,-0.57345,0,0.636,0.548,1.834,22.6,13.4
58,574,64.8%,81.46,-257,0.19072,-1.27457,0,3.671,0.577,9.268,36.4,19.15
59,574,64.8%,84.2,-239,-0.02476,-0.35169,0,2.342,0.957,6.6,22.65,13.65
60,574,64.8%,53.88,-280,-0.63588,-0.69747,0,0.641,1.337,1.013,54.8,11.35
61,574,64.8%,46.23,-276,0.21056,-0.95816,0,0.655,0.755,1.102,25.15,16.65
62,574,64.8%,63.87,-284,-1.24799,-1.15742,0,0.487,0.494,1.461,39.7,14.8
63,574,64.8%,79.98,-224,-1.15143,-0.55685,0,11.047,0.707,5.032,29.25,15.55
64,574,64.8%,76.52,-252,-0.90633,-0.60642,0,0.681,nan,2.664,31.95,21.15
65,574,65.2%,71.88,-250,-0.37406,-0.41076,-1.48664,7.534,0.704,3.791,34.85,25.95
66,574,65.2%,81.7,-244,0.46268,-0.90703,0,0.511,nan,1.908,29.8,6.05
67,574,65.2%,79.97,-215,-1.61767,-0.75002,0,3.75,nan,4.462,30.5,19.25
68,574,65.2%,56.03,-253,-0.56318,-0.06648,0,0.665,0.577,1.707,44.5,10.6
69,574,65.2%,48.05,-262,2.0105,-1.36516,0,0.944,0.707,0.74,36.85,9.9
70,574,65.2%,39.38,-321,0.46988,-0.476,0,0.687,nan,0.824,16.95,5.0
71,574,65.2%,41.23,-302,-0.99855,-1.21429,0,0.5,nan,0.612,22.45,8.35
72,574,65.2%,39.1,-341,-0.59179,-0.61493,0,1.045,3.274,4.936,16.35,4.65
73,574,65.2%,46.47,-315,-0.48583,-0.60336,0,0.582,0.53,2.088,21.75,21.75
74,574,65.2%,27.56,-363,-0.15115,-0.94553,0,5.966,0.577,2.69,15.65,8.75
75,574,65.2%,47.71,-276,-1.1726,-0.75411,0,5.525,0.707,7.081,41.1,13.45
76,574,65.2%,66.13,-258,-0.32059,0.39623,0,0.933,0.707,0.846,41.05,23.3
77,574,65.2%,86.91,-206,0.43928,1.60025,0,0.653,0.755,4.357,25.15,24.55
78,574,65.2%,47.44,-374,-0.74344,-0.45149,0,2.512,0.548,2.658,50.1,14.75
79,574,65.2%,31.77,-423,-0.72605,-0.05171,0,2.929,6.661,1.488,15.55,8.3
80,574,65.2%,32.83,-424,-0.62982,-1.31114,0,0.517,0.707,0.701,9.4,5.65
81,574,65.2%,40.56,-379,-0.32292,-0.87224,0,3.189,3.184,1.786,18.25,16.0
