Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,346,60.0%,100.76,-8,0.68364,-1.02068,0,13.636,37.425,9.113,36.8,18.5
1,346,60.0%,100.11,-1,1.70393,-0.97637,0,15.275,1.392,13.077,45.1,43.85
2,346,60.0%,103.54,-2,0.70277,-0.55009,0,3.761,2.311,10.008,42.6,23.9
3,346,60.0%,98.89,-4,1.20259,-0.0801,0,2.397,1.958,9.699,36.45,32.5
4,346,60.0%,98.56,-5,-0.642,-0.15936,0,12.767,34.105,13.074,26.9,22.3
5,346,60.0%,101.82,1,0.47066,0.65399,0,12.13,6.862,14.987,31.3,22.5
6,346,60.0%,100.12,-12,0.29305,0.09603,0,6.49,4.572,9.938,30.45,20.55
7,346,60.0%,99.78,-8,0.1518,-0.67076,0,2.89,0.616,12.534,24.6,17.5
8,346,60.0%,98.9,-14,-0.69736,0.28154,0,3.535,1.279,7.261,21.85,21.05
9,346,60.0%,97.32,-9,-0.64421,-0.66912,0,2.27,0.548,8.769,23.85,13.9
10,346,60.0%,98.85,-5,1.16733,1.68177,0,2.52,2.872,5.043,41.0,19.3
11,346,60.0%,95.91,-5,-0.49673,1.38436,0,7.301,8.061,6.953,29.95,21.75
12,346,60.0%,98.4,-14,-1.03585,-0.78643,0,3.759,0.548,11.846,29.55,15.85
13,346,60.0%,100.82,-2,0.26389,-0.81501,0,3.028,0.698,3.044,30.3,30.3
14,346,60.0%,102.16,4,-0.15478,-1.34323,0,0.94,1.287,5.793,26.65,22.0
15,346,60.0%,93.87,-19,-0.66269,-0.71139,0,12.438,10.356,7.143,23.75,20.6
16,346,60.0%,94.08,-20,-0.90882,-0.56636,0,5.807,16.092,3.883,22.35,18.3
17,346,60.0%,97.54,-19,0.13123,-0.44403,0,11.743,nan,7.966,33.95,24.1
