Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,369,62.6%,102.34,-2,-0.27868,-0.1826,0,13.409,1.517,11.805,38.25,28.35
1,369,62.6%,101.82,-3,-0.35148,-0.59589,0,6.701,8.51,10.421,33.25,23.15
2,369,62.6%,98.79,-1,0.04809,-0.3365,0,13.003,4.251,9.397,36.7,28.55
3,369,62.6%,98.7,-4,-0.05144,-0.20834,0,16.625,3.03,12.942,35.5,20.85
4,369,62.6%,101.72,11,-0.45999,-0.66526,0,11.018,1.211,11.529,35.3,17.6
5,369,62.6%,100.25,0,-0.60123,-0.86364,0,11.512,1.963,12.149,21.95,18.1
6,369,62.6%,99.17,-3,1.30758,-0.39878,0,7.03,1.333,6.097,36.1,17.75
7,369,62.6%,99.76,-1,0.05664,-0.68236,0,1.247,1.928,6.502,40.55,22.75
8,369,62.6%,96.33,-26,-0.90079,0.40528,0,6.416,4.733,4.366,25.2,21.7
9,369,62.6%,97.51,-15,-0.09802,-0.64457,0,3.611,0.784,2.646,39.95,19.3
10,369,62.6%,92.5,-13,-0.91833,-0.74056,0,6.935,0.884,4.856,39.05,18.8
11,369,62.6%,94.26,-24,-0.41228,-0.97134,0,11.288,0.532,6.354,29.4,18.25
12,369,62.6%,98.79,-13,-0.98464,-0.39465,0,7.838,0.463,5.982,20.4,13.5
13,369,62.6%,99.65,-13,-0.45803,2.42833,0,8.832,21.343,6.652,24.7,24.7
14,369,62.6%,91.38,-29,-0.5333,0.60392,0,13.391,0.844,7.895,32.85,24.5
15,369,62.6%,93.16,-12,-0.6582,-0.7625,0,15.126,0.837,8.31,29.8,25.85
16,369,62.6%,97.15,-13,-0.52721,-0.95709,0,3.442,2.01,3.694,27.55,13.4
17,369,62.6%,90.9,-27,0.8396,-0.25335,0,2.53,6.197,8.524,40.35,36.25
18,369,62.6%,87.22,-36,-0.27495,-0.64098,0,2.871,0.707,12.115,38.8,38.8
19,369,62.6%,94.58,-22,-0.77128,0.37608,0,6.616,0.577,5.933,15.7,12.25
20,369,62.6%,95.11,-7,0.05537,0.24995,0,9.434,0.717,8.636,53.8,44.4
21,369,62.6%,79.71,-45,-1.58255,-1.6057,0,21.051,0.577,11.548,50.0,20.95
22,369,62.6%,96.02,-40,-0.84828,-0.77755,0,1.117,0.836,5.482,22.9,16.7
23,369,62.6%,97.42,-34,-0.45123,1.2296,0,2.158,0.874,6.117,20.65,20.35
24,369,62.6%,96.46,-33,-0.74851,-0.65537,0,0.92,nan,2.223,17.35,17.15
25,369,62.6%,95.37,-28,0.07349,-0.91044,0,15.013,1.437,9.924,29.7,20.05
26,369,62.6%,95.79,-45,-0.60789,-0.83186,0,1.312,2.396,8.135,28.5,24.55
27,369,62.6%,97.54,-31,-0.29482,-0.43321,0,0.858,0.5,1.583,22.4,21.45
28,369,62.6%,92.8,-54,-0.23266,-1.00532,0,16.224,0.5,8.905,29.8,15.95
29,369,62.6%,95.12,-47,-0.82569,-0.84546,0,10.527,0.577,7.219,18.15,12.9
30,369,62.6%,93.09,-34,0.28927,0.27937,0,0.834,0.535,7.376,32.45,24.2
31,369,62.6%,96.35,-37,-0.90952,-0.73111,0,7.1,0.803,3.855,18.25,17.45
32,369,62.6%,96.86,-52,-0.93651,0.18692,0,2.153,nan,8.631,20.8,15.8
33,369,62.6%,85.36,-79,-1.04098,-1.62604,3.22389,0.851,0.527,2.41,41.6,30.55
34,369,66.6%,79.55,-79,-1.24007,-0.95547,0,29.08,0.548,15.51,49.6,12.05
35,369,66.6%,90.0,-68,1.09615,0.55938,0,6.128,0.838,4.339,39.9,38.65
36,369,66.6%,80.95,-72,-0.10412,-1.0496,0,2.223,0.539,2.254,39.05,19.55
37,369,66.6%,91.69,-66,-0.55188,-0.67648,0,0.701,0.583,1.432,24.55,16.3
38,369,66.6%,91.76,-55,-0.376,-0.42608,0,2.218,1.293,5.17,26.85,13.45
39,369,66.6%,91.55,-40,-0.24449,-0.80003,0,7.669,0.816,4.776,20.95,14.45
40,369,66.6%,91.02,-46,-0.68392,-1.03141,0,7.728,0.816,12.179,30.45,28.45
41,369,66.6%,83.97,-85,-0.84202,-1.16747,0,1.808,2.319,1.232,37.55,27.35
42,369,66.6%,85.84,-43,-0.51632,-0.49889,0,5.453,0.707,10.37,29.7,16.75
43,369,66.6%,92.11,-66,-0.44611,-0.59147,0,5.886,0.577,5.439,22.3,21.4
44,369,66.6%,87.89,-55,2.41319,-0.06059,0,1.386,2.994,13.288,48.8,46.85
45,369,66.6%,75.09,-77,-0.54821,-0.86155,0,0.674,0.689,3.534,47.5,24.45
46,369,66.6%,91.14,-65,-0.90417,0.63207,0,1.397,0.954,1.719,17.3,12.35
47,369,66.6%,85.18,-62,-0.83289,-1.17353,0,0.752,0.628,0.922,39.55,35.65
48,369,66.6%,88.98,-47,0.42064,-0.19106,0,0.741,nan,1.383,32.95,15.0
49,369,66.6%,92.37,-51,-0.19765,-0.54812,0,6.969,0.906,7.892,20.4,13.05
50,369,66.6%,86.67,-68,-0.18947,1.23626,0,1.288,0.965,2.286,41.35,35.45
51,369,66.6%,73.94,-57,-1.05073,-1.00813,0,0.622,0.519,2.239,49.1,12.15
52,369,66.6%,91.42,-35,-0.89195,-1.39545,0,0.907,1.526,2.158,20.9,17.1
53,369,66.6%,84.06,-66,-1.09058,0.44554,0,1.407,1.196,3.061,37.9,33.55
54,369,66.6%,46.82,-104,-0.72543,-0.79567,0,1.054,0.707,0.993,37.25,21.7
55,369,66.6%,46.04,-105,1.41983,-1.21819,0,1.915,0.495,1.607,22.9,16.6
56,369,66.6%,78.33,-56,0.92242,-0.32674,0,0.715,0.756,2.152,37.6,27.85
57,369,66.6%,90.82,-70,-0.97862,-1.13495,0,4.149,0.548,3.408,22.8,15.25
58,369,66.6%,80.16,-68,-0.95546,-0.90296,0,1.715,0.614,2.764,35.15,21.0
59,369,66.6%,83.45,-77,-1.35618,-1.36972,0,1.095,0.707,7.792,38.35,13.0
60,369,66.6%,79.18,-60,-0.0634,0.35199,0,0.744,0.753,0.794,54.9,42.95
61,369,66.6%,52.28,-102,-0.37363,-0.94101,0,0.659,nan,1.002,43.7,25.5
62,369,66.6%,86.66,-67,0.34273,-0.53766,0,0.571,0.654,2.169,31.3,9.35
63,369,66.6%,83.39,-94,-1.09748,-0.68463,0,14.258,0.577,8.131,39.95,17.55
64,369,66.6%,82.02,-68,-0.23631,-1.06596,0,3.155,nan,9.194,31.05,17.65
65,369,66.6%,81.72,-96,-1.03793,0.26482,0,6.816,nan,8.674,42.9,15.2
66,369,66.6%,89.94,-92,-0.4724,-0.90908,0,2.004,0.781,3.01,18.1,14.9
67,369,66.6%,71.63,-110,-1.15823,-1.4559,-0.64955,0.76,0.958,1.177,59.25,31.05
68,369,70.6%,44.67,-139,-1.0764,-1.01924,0,0.679,0.354,0.717,32.95,20.7
69,369,70.6%,67.36,-115,-1.06197,-1.15115,0,7.196,0.707,3.872,42.1,17.25
70,369,70.6%,91.67,-75,-0.83429,-1.13556,0,2.142,0.544,1.231,12.45,11.05
71,369,70.6%,91.0,-55,-0.9139,-0.76721,0,0.641,0.701,1.157,16.35,10.25
72,369,70.6%,87.28,-107,1.08999,0.90279,0,0.557,0.577,14.68,28.95,27.8
73,369,70.6%,89.91,-99,-0.84854,-1.22517,0,0.842,0.577,13.222,15.5,12.8
74,369,70.6%,46.48,-131,-0.9787,0.27321,0,0.639,0.707,1.459,66.65,22.0
75,369,70.6%,16.25,-178,-0.41535,-0.29936,0,0.729,0.508,0.911,16.65,1.7
76,369,70.6%,21.83,-147,-0.90721,-0.4837,0,0.557,0.577,2.525,16.85,6.45
77,369,70.6%,29.48,-119,-1.16659,-1.02441,0,0.688,0.707,3.569,17.2,5.8
78,369,70.6%,54.06,-109,-1.43019,-1.00548,0,0.609,0.97,4.34,64.85,27.95
79,369,70.6%,87.38,-68,1.49384,-1.14588,0,7.551,0.577,6.571,24.45,13.25
80,369,70.6%,80.17,-84,-0.95978,-0.79181,0,3.489,0.702,2.241,27.6,20.25
81,369,70.6%,61.35,-105,-1.3372,-1.25515,0,0.595,0.535,0.805,56.8,18.7
82,369,70.6%,46.49,-132,-1.30758,-1.45704,0,9.849,0.816,4.927,34.15,10.1
83,369,70.6%,60.7,-109,1.21587,-0.60172,0,2.552,nan,1.626,40.05,40.05
84,369,70.6%,87.53,-46,-0.67794,-0.83476,0,8.235,0.541,5.18,23.4,17.15
85,369,70.6%,87.12,-47,-1.43543,-0.94647,0,0.565,0.577,0.561,19.45,16.25
86,369,70.6%,86.14,-69,-0.45095,-0.30064,0,0.712,0.707,4.232,21.35,20.4
87,369,70.6%,64.43,-50,-1.10253,-0.72412,0,1.411,2.839,1.013,53.3,18.45
88,369,70.6%,29.39,-132,-1.12788,-1.35171,0,0.808,0.655,0.741,23.1,3.8
89,369,70.6%,23.01,-137,1.39246,0.70368,0,0.684,0.9,1.243,8.05,3.75
90,369,70.6%,17.24,-175,0.60523,-0.4632,0,0.557,0.75,1.41,17.85,4.05
91,369,70.6%,15.83,-163,-0.88479,-1.10447,0,0.521,0.548,0.638,11.1,4.65
92,369,70.6%,25.04,-132,-0.0398,-0.57475,0,0.553,nan,2.582,15.55,10.85
93,369,70.6%,47.68,-88,-1.35621,-1.45805,0,0.561,0.548,0.506,34.05,12.6
94,369,70.6%,57.34,-73,-1.21506,-1.1502,0,2.226,0.548,1.341,52.5,15.55
95,369,70.6%,41.29,-110,-0.77216,-1.04336,0,2.046,0.837,1.237,32.1,15.3
96,369,70.6%,28.34,-148,-0.38942,0.18474,0,5.654,nan,3.239,8.45,5.55
97,369,70.6%,24.56,-152,-1.28686,-0.02141,0,0.493,0.707,2.122,10.8,2.95
98,369,70.6%,49.11,-79,-1.15627,-0.47969,0,0.685,0.533,0.851,39.45,26.6
99,369,70.6%,77.02,-61,-0.6458,-0.66112,0,2.48,0.707,2.346,30.2,17.15
