Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,395,62.6%,103.34,-1,-0.00657,0.35268,0,19.208,1.455,10.868,40.6,21.1
1,395,62.6%,100.21,-5,-0.00468,-0.93511,0,13.511,12.519,8.63,36.9,20.8
2,395,62.6%,99.22,-6,-0.13599,-0.47677,0,5.498,1.761,16.045,29.05,27.4
3,395,62.6%,97.34,-11,0.70423,-0.8402,0,19.681,2.2,15.222,33.1,18.15
4,395,62.6%,98.53,-1,-0.36007,-0.36062,0,8.887,2.953,9.204,37.0,34.0
5,395,62.6%,101.1,11,0.90459,0.2155,0,4.692,5.425,8.068,37.0,34.5
6,395,62.6%,101.61,8,0.20223,-0.99035,0,3.731,1.257,7.885,53.55,27.0
7,395,62.6%,94.15,-9,-0.45897,-0.671,0,1.329,2.325,5.724,36.7,32.45
8,395,62.6%,96.96,-2,-0.78596,-0.45144,0,9.286,0.632,9.632,27.9,23.85
9,395,62.6%,97.22,-2,-0.96927,-0.74223,0,1.353,2.002,4.542,28.1,12.45
10,395,62.6%,96.78,-4,-0.44284,-0.75474,0,6.118,18.906,5.682,27.65,16.8
11,395,62.6%,95.63,-9,-1.18319,-1.07902,0,10.341,0.548,12.35,19.45,10.75
12,395,62.6%,90.84,-23,-1.07022,-0.87768,0,16.783,1.851,9.918,36.7,21.2
13,395,62.6%,95.51,-3,-0.1003,-0.50693,0,1.899,2.088,2.703,32.8,29.9
14,395,62.6%,93.53,-29,-0.95797,-0.36346,0,1.507,0.535,4.308,34.4,18.15
15,395,62.6%,94.47,-29,-0.94413,-0.65637,0,1.561,4.608,7.863,26.65,17.15
16,395,62.6%,95.2,-19,-0.41463,-0.42929,0,3.321,0.548,10.958,27.05,23.9
17,395,62.6%,89.94,-20,-0.84943,-0.97504,0,12.728,1.464,14.467,29.8,18.35
18,395,62.6%,89.83,-17,-0.80035,-0.67795,0,1.475,0.726,10.555,29.25,24.5
19,395,62.6%,99.18,-22,1.40873,-0.80097,0,0.818,1.435,12.031,29.5,11.55
20,395,62.6%,92.77,-10,-0.64246,-0.2453,0,1.194,0.851,3.863,27.7,18.75
21,395,62.6%,94.78,-3,-0.69718,-0.51968,0,8.652,0.748,7.113,24.85,16.95
22,395,62.6%,93.34,-11,-1.13072,-0.79745,0,5.336,9.552,5.921,24.4,22.55
23,395,62.6%,96.88,-11,0.32784,-0.72115,0,7.447,0.606,4.784,26.2,13.3
24,395,62.6%,95.83,-3,-0.77006,-0.97255,0,6.098,1.005,5.774,29.65,18.4
25,395,62.6%,92.76,-21,0.31311,-1.02025,0,1.24,0.506,3.423,36.05,20.75
26,395,62.6%,89.96,-39,-1.09965,-0.4759,0,3.064,0.691,5.592,34.15,23.65
27,395,62.6%,88.89,-15,-0.84037,-0.92177,0,0.77,0.548,6.754,34.45,20.3
28,395,62.6%,92.73,-27,-0.43046,-0.60376,0,1.705,nan,1.674,24.95,11.6
29,395,62.6%,98.03,-81,-0.28413,-0.23481,0,0.706,0.577,8.798,12.1,4.4
30,395,62.6%,89.76,-99,0.18931,0.31378,0,2.596,0.577,3.459,24.85,24.85
31,395,62.6%,91.77,-89,-1.10617,0.00523,-1.63502,0.848,0.87,1.155,21.0,20.0
32,395,67.6%,90.06,-44,-1.16969,-1.06052,0,4.868,0.479,3.269,24.5,18.65
33,395,67.6%,93.85,-51,-0.84528,-1.40322,0,2.152,0.801,3.102,20.25,19.45
34,395,67.6%,93.37,-48,-0.53605,-0.83432,0,0.58,0.577,3.863,16.8,9.05
35,395,67.6%,86.38,-49,-1.57866,2.22614,0,2.184,0.548,1.555,30.65,7.9
36,395,67.6%,90.51,-59,-0.33168,-0.05322,0,0.64,0.572,4.188,20.45,10.45
37,395,67.6%,87.84,-32,-0.20836,-0.56607,0,6.83,0.548,4.312,32.0,29.15
38,395,67.6%,79.3,-36,-0.3429,-0.14538,0,6.442,0.912,3.927,39.95,38.25
39,395,67.6%,82.09,-27,-0.94934,-0.90233,0,1.429,0.707,2.393,40.95,31.55
40,395,67.6%,89.28,-23,-0.84196,-0.26711,0,1.131,1.153,2.582,26.25,24.55
41,395,67.6%,88.24,-27,-0.92222,-0.44969,0,25.904,0.721,11.13,23.5,19.35
42,395,67.6%,91.16,-21,-0.42069,0.1615,0,1.305,0.707,2.581,29.9,24.95
43,395,67.6%,93.75,-25,-0.43187,-0.34882,0,1.147,0.942,1.655,34.1,19.45
44,395,67.6%,71.71,-52,-1.28512,-0.69894,0,1.19,0.577,10.63,65.4,25.3
45,395,67.6%,62.5,-59,3.3872,-0.674,0,3.006,0.707,4.64,46.05,33.35
46,395,67.6%,82.52,-40,-0.48312,-1.19862,0,0.932,1.782,9.78,31.5,12.8
47,395,67.6%,92.8,-45,3.64799,-0.2935,0,8.893,21.479,6.301,23.45,8.25
48,395,67.6%,86.15,-57,-0.86746,0.93795,0,0.728,0.914,5.002,28.4,20.25
49,395,67.6%,80.87,-86,-1.04819,-0.57596,0,1.05,0.68,1.304,34.0,28.75
50,395,67.6%,75.48,-59,-1.37144,-1.35892,0,1.611,0.577,4.755,56.95,28.3
51,395,67.6%,76.46,-59,0.56514,0.23372,0,2.708,1.474,2.246,61.15,22.45
52,395,67.6%,86.61,-64,-0.11207,-0.34793,0,0.843,1.195,0.991,34.5,29.2
53,395,67.6%,87.12,-65,-0.18112,-0.70933,0,2.646,0.459,5.713,29.05,15.95
54,395,67.6%,78.89,-53,-1.37788,-0.76115,0,9.974,nan,10.227,41.3,11.25
55,395,67.6%,78.84,-66,-1.35908,0.28286,0,1.36,nan,2.283,43.05,24.0
56,395,67.6%,79.71,-63,-0.18013,0.38222,0,4.194,nan,2.58,41.35,41.35
57,395,67.6%,47.87,-107,-1.09869,-1.25801,0,0.964,0.707,0.853,44.05,17.6
58,395,67.6%,75.09,-54,-0.85677,-1.32778,0,3.687,0.837,1.858,52.85,18.8
59,395,67.6%,85.79,-107,-0.79598,-0.81601,0,1.047,0.837,2.991,19.15,14.4
