Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,343,62.6%,105.73,-4,-0.2634,-0.47462,0,12.971,31.85,7.68,32.35,30.75
1,343,62.6%,103.28,-3,-0.65959,-0.32885,0,23.694,0.963,13.804,29.5,25.15
2,343,62.6%,97.05,-5,0.87129,-0.31449,0,2.89,2.531,5.847,28.8,28.8
3,343,62.6%,99.52,-4,0.93614,0.20638,0,13.049,5.591,12.04,38.75,24.9
4,343,62.6%,98.53,4,-0.36046,0.58639,0,12.49,2.316,11.556,30.1,17.85
5,343,62.6%,101.39,-1,0.6497,-0.29569,0,6.213,9.532,5.474,33.3,25.45
6,343,62.6%,100.42,-11,0.80324,-0.76572,0,9.683,1.25,13.961,41.25,26.95
7,343,62.6%,100.83,5,-0.16875,-0.0766,0,5.445,5.997,16.214,39.1,34.1
8,343,62.6%,94.46,-2,-0.99095,-0.69431,0,1.489,1.185,6.019,32.75,31.65
9,343,62.6%,95.3,-8,-1.04207,-1.08409,0,6.145,1.256,3.64,32.55,16.9
10,343,62.6%,91.31,-14,-0.45931,-0.75422,0,3.192,6.138,3.287,37.3,24.7
11,343,62.6%,101.42,-23,-0.92594,-0.85639,0,18.93,0.745,10.66,16.85,11.4
12,343,62.6%,96.96,-29,-0.3045,-0.66764,0,1.282,0.837,3.782,22.35,16.75
13,343,62.6%,97.43,-23,-0.4201,-0.23398,0,4.27,1.93,6.003,22.8,21.4
14,343,62.6%,100.04,-11,-1.11859,-1.16723,0,4.202,0.548,6.575,24.2,18.2
15,343,62.6%,97.25,-6,-0.95115,-0.34358,0,0.782,0.425,5.656,25.3,24.3
16,343,62.6%,91.88,-5,-0.61333,-0.04671,0,5.214,4.17,13.369,26.9,20.8
17,343,62.6%,95.77,5,-0.18727,-0.63299,0,1.395,0.548,3.736,22.9,20.15
18,343,62.6%,99.02,-7,-0.28205,-0.41596,0,4.504,11.853,3.688,30.8,20.15
19,343,62.6%,91.23,-6,-0.76119,1.18042,0,2.067,0.516,2.772,27.0,16.75
20,343,62.6%,89.37,-17,-0.6644,-1.11625,0,6.697,0.536,4.198,35.75,31.0
21,343,62.6%,92.29,-7,-1.03902,-0.47704,0,11.495,0.904,7.482,34.25,28.2
22,343,62.6%,98.23,-6,-0.54137,-0.92979,0,9.808,0.758,7.721,36.95,19.9
23,343,62.6%,98.49,-1,-0.84072,-1.07914,0,1.076,1.857,5.393,31.5,22.05
24,343,62.6%,95.54,-22,0.06225,0.14245,0,1.078,1.417,5.569,23.7,19.3
25,343,62.6%,89.19,-26,-0.7489,-0.86443,0,9.708,9.028,6.093,30.6,15.4
26,343,62.6%,97.99,-24,-0.75757,-1.46408,0,1.866,1.333,6.199,17.65,15.0
27,343,62.6%,95.76,-11,-0.89219,-1.03102,0,12.626,3.669,12.326,25.95,25.95
28,343,62.6%,91.7,5,-0.8458,-0.75495,0,12.925,0.711,11.365,34.15,20.95
29,343,62.6%,97.59,-1,-0.96764,-0.83243,0,1.742,0.695,2.131,29.85,19.8
30,343,62.6%,87.18,-19,-0.91543,0.48304,0,1.347,0.551,1.806,39.75,18.2
31,343,62.6%,96.6,-16,0.24354,-1.01388,0,1.068,0.863,1.568,25.7,11.6
32,343,62.6%,93.42,-38,-0.7274,-1.01172,0,0.787,0.5,2.21,29.6,25.65
33,343,62.6%,97.3,-19,-0.44078,0.11382,0,3.102,0.548,6.034,25.05,17.0
34,343,62.6%,91.06,-50,-0.70288,-0.59745,0,2.286,0.707,1.897,27.2,17.45
35,343,62.6%,96.14,-38,-1.22763,-0.92819,0,0.885,0.707,8.644,21.35,12.75
36,343,65.6%,94.78,-46,-0.83682,-0.71504,-1.9586,11.843,0.707,8.859,21.9,19.45
37,343,65.6%,92.09,-45,-0.83869,-0.7543,0,2.98,0.756,2.581,37.15,15.55
38,343,65.6%,91.59,-34,-1.18613,0.46175,0,4.24,0.548,2.838,17.85,12.95
39,343,65.6%,94.99,-32,0.14715,-0.58698,0,5.824,8.799,3.707,23.8,20.85
40,343,65.6%,85.17,-49,-1.31439,-0.9464,0,4.286,0.548,3.409,37.0,16.8
41,343,65.6%,87.05,-26,-0.85729,-1.10934,0,2.804,0.492,10.992,34.6,19.95
42,343,65.6%,89.65,-19,-0.34378,-0.22352,0,14.801,34.782,10.615,22.1,19.85
43,343,65.6%,88.32,-22,0.01622,-0.45094,0,17.008,3.088,8.796,43.6,42.6
44,343,65.6%,92.49,-15,0.17279,-0.39551,0,0.915,0.577,5.366,41.4,15.05
45,343,65.6%,91.8,-38,-0.43417,0.73714,0,4.109,16.029,2.791,32.3,21.65
46,343,65.6%,92.55,-16,-0.78205,-0.60955,0,1.697,0.5,6.247,28.1,14.4
47,343,65.6%,94.88,-34,0.21045,0.50878,0,15.112,0.707,8.027,22.7,16.55
48,343,65.6%,97.78,-22,-0.04731,0.23156,0,3.959,0.707,15.571,15.7,15.5
49,343,65.6%,86.95,-26,-0.41612,0.27642,0,1.809,2.074,5.054,36.5,21.0
50,343,65.6%,81.07,-45,0.29782,-0.68964,0,1.072,0.575,6.127,48.7,36.9
51,343,65.6%,73.61,-34,-0.21037,0.13082,0,2.315,0.548,3.057,42.05,29.65
52,343,65.6%,84.6,-23,-0.46282,-0.44065,0,1.657,1.314,2.037,49.8,42.0
53,343,65.6%,90.94,-55,-0.45919,-0.67283,0,0.966,0.5,2.838,20.05,18.1
54,343,65.6%,95.25,-34,-0.33501,-0.84783,0,8.224,0.577,5.247,16.6,8.5
55,343,65.6%,93.94,-27,1.53629,-0.07738,0,3.366,0.707,8.283,32.55,11.8
56,343,65.6%,88.78,-43,-0.16734,3.55636,0,1.109,0.485,4.901,32.2,32.2
57,343,65.6%,79.5,-71,-0.76232,-0.40294,0,1.516,0.707,2.041,29.0,27.2
58,343,65.6%,48.74,-83,-1.12712,-0.65538,0,2.932,2.537,1.85,40.1,11.9
59,343,65.6%,59.39,-67,-1.06795,-1.1479,0,2.07,0.641,1.685,32.55,11.35
60,343,65.6%,84.16,-31,-0.57503,-0.67025,0,0.759,1.088,10.571,39.1,10.25
61,343,65.6%,89.53,-20,-0.15978,-1.00135,0,1.771,0.853,3.759,20.9,20.9
62,343,65.6%,88.95,-8,0.66495,-0.58711,0,1.959,0.577,2.864,30.35,30.35
63,343,65.6%,79.95,-10,-1.05105,-1.01384,0,3.497,nan,9.808,30.8,15.65
64,343,65.6%,72.84,-19,-1.007,-0.72192,0,0.989,0.504,3.214,45.5,14.65
65,343,65.6%,82.97,-18,-0.63475,-0.52595,0,0.73,0.494,1.921,37.45,22.3
66,343,65.6%,81.73,-26,-0.63247,-0.14582,0,3.924,0.531,2.96,38.75,20.45
67,343,65.6%,62.87,-56,-0.73254,-0.41667,0,0.897,0.534,0.992,25.9,18.65
68,343,65.6%,89.07,-15,0.41523,-0.55784,0,0.687,0.707,8.424,42.2,13.5
69,343,65.6%,92.39,-52,-0.95689,1.32109,0,1.495,3.368,8.775,16.95,8.4
70,343,65.6%,90.71,-49,-0.52087,-0.56135,0,0.884,1.031,5.501,18.6,15.2
71,343,65.6%,87.6,-78,-0.33062,-0.11786,0,1.94,nan,1.43,31.15,24.55
72,343,65.6%,87.43,-67,-0.69573,-0.31756,3.99866,1.689,0.801,7.706,26.6,21.15
73,343,68.6%,51.39,-113,-0.1296,-0.64879,0,1.498,0.593,1.018,64.0,14.15
74,343,68.6%,38.73,-121,-1.1261,-0.66143,0,4.099,0.474,2.385,14.0,4.0
75,343,68.6%,71.87,-74,-0.12687,-1.09959,0,0.602,0.548,2.908,52.65,20.5
76,343,68.6%,87.88,-66,-0.95484,-0.82667,0,4.145,0.764,2.394,25.5,11.35
77,343,68.6%,91.5,-48,0.36721,-0.95838,0,1.222,nan,1.044,20.95,11.55
78,343,68.6%,81.61,-81,-1.37548,-0.89281,0,0.506,0.707,1.253,25.0,18.15
79,343,68.6%,84.17,-60,-0.11208,-0.42098,0,0.802,1.091,6.132,41.75,41.2
80,343,68.6%,42.33,-128,-1.45881,-1.77124,0,0.733,0.707,1.294,48.75,5.7
81,343,68.6%,30.04,-148,-0.43946,-0.50187,0,0.514,0.707,0.635,20.95,11.4
82,343,68.6%,26.46,-171,-1.01969,-0.2721,0,1.587,3.224,1.548,13.85,8.25
83,343,68.6%,32.74,-148,-0.92751,-1.43504,0,3.975,1.427,2.694,20.45,6.65
84,343,68.6%,64.13,-73,-1.25213,-1.29734,0,1.573,0.577,2.286,52.35,19.65
85,343,68.6%,87.58,-26,0.75391,8.95827,0,1.636,nan,2.095,28.2,22.7
86,343,68.6%,84.75,-108,0.20168,-1.09649,0,0.855,0.535,5.569,33.6,25.1
87,343,68.6%,53.97,-198,1.66198,2.60002,0,0.702,0.606,1.045,47.95,14.8
88,343,68.6%,68.37,-175,-0.27143,0.07244,0,0.784,0.707,1.062,34.45,22.0
89,343,68.6%,69.66,-150,-1.12802,-0.83855,0,1.745,0.577,1.151,34.75,17.45
90,343,68.6%,78.88,-143,-0.03098,-0.17917,0,0.884,1.796,1.18,22.4,17.8
91,343,68.6%,85.06,-111,-0.25167,-0.80238,0,0.909,0.707,3.857,37.4,18.8
92,343,68.6%,82.39,-163,-0.59038,-1.12193,0,0.866,nan,5.544,50.65,34.9
93,343,68.6%,72.17,-210,-1.02711,-0.73276,0,11.116,0.577,7.21,37.25,21.25
94,343,68.6%,56.72,-240,-1.29736,-1.47493,0,0.743,0.874,0.698,59.05,23.55
95,343,68.6%,45.54,-235,-0.46935,-0.24642,0,8.315,0.577,4.91,32.15,19.8
96,343,68.6%,55.91,-245,-0.64101,-0.74704,0,7.108,16.995,4.265,14.0,10.75
97,343,68.6%,54.64,-232,-0.2016,-0.68626,0,0.802,0.548,1.295,20.25,16.4
98,343,68.6%,51.42,-235,-0.78746,-0.42573,0,0.496,0.607,1.965,20.0,11.1
99,343,68.6%,86.13,-186,0.66108,-0.62417,0,0.561,nan,1.067,31.85,17.0
