Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,711,64.0%,101.4,-1,0.9642,-0.11522,0,2.298,1.051,7.829,37.5,26.75
1,711,64.0%,99.91,-2,1.04736,-0.1385,0,7.56,1.96,10.553,45.9,29.5
2,711,64.0%,100.09,-1,0.03745,-0.95094,0,10.836,5.362,9.134,41.05,27.3
3,711,64.0%,101.39,-1,0.67708,-0.5874,0,11.027,32.698,12.147,48.25,24.35
4,711,64.0%,95.63,-11,0.18734,-0.18153,0,6.207,0.914,5.145,34.55,34.55
5,711,64.0%,95.47,-6,0.10416,-0.20701,0,2.918,1.952,4.624,50.65,33.4
6,711,64.0%,96.76,2,-0.11792,-0.32139,0,1.459,1.076,7.77,37.75,33.8
7,711,64.0%,95.41,-11,-0.19671,-0.44993,0,3.117,0.763,7.32,39.95,15.3
8,711,64.0%,93.67,-8,-0.15427,0.11084,0,3.269,0.816,7.34,29.9,22.0
9,711,64.0%,92.7,-3,-0.72562,-0.94242,0,1.62,1.07,4.707,37.1,26.0
10,711,64.0%,92.35,-3,-0.62934,-0.95632,0,0.638,0.548,8.283,57.35,12.55
11,711,64.0%,95.07,-8,-0.32139,-1.37225,0,23.062,0.842,13.154,34.65,20.25
12,711,64.0%,94.55,-9,-0.75726,-0.41699,0,4.592,0.801,10.554,29.65,16.8
13,711,64.0%,93.06,-16,-0.61152,-0.67856,0,1.838,0.816,10.288,33.7,17.75
14,711,64.0%,94.48,2,-0.43601,-0.94486,0,1.47,0.514,6.609,30.55,22.0
15,711,64.0%,91.79,-43,-0.90595,-1.12876,0,1.591,nan,2.349,25.1,16.25
16,711,64.0%,92.76,-74,-0.29264,-0.43061,0,9.029,0.707,4.942,24.3,22.1
17,711,64.0%,93.31,-50,-0.44,-1.04878,-1.89743,11.12,0.448,6.093,27.75,24.35
18,711,64.4%,92.2,-42,-1.18979,0.41275,0,4.663,21.213,5.62,24.45,19.7
19,711,64.4%,87.0,-58,-0.28211,0.34851,0,19.936,19.806,8.009,38.8,24.75
20,711,64.4%,92.99,-44,1.04715,-0.03768,0,0.836,0.577,4.373,36.1,15.35
21,711,64.4%,90.66,-36,-0.61004,0.83312,0,1.933,0.933,5.51,32.55,26.2
22,711,64.4%,70.06,-101,-0.85087,-0.97918,0,2.037,3.1,5.231,62.7,25.55
23,711,64.4%,84.67,-81,-0.64074,-1.26024,0,6.844,nan,3.371,43.7,13.95
24,711,64.4%,88.14,-65,-0.3884,0.41386,0,5.337,0.548,2.682,30.25,21.6
25,711,64.4%,90.53,-74,-0.65318,-0.63544,0,1.737,1.597,6.834,31.7,25.35
26,711,64.4%,91.05,-86,0.95976,-0.73001,0,1.026,0.548,2.347,34.2,9.05
27,711,64.4%,89.94,-77,-0.26759,-0.86062,0,0.665,0.712,9.773,27.0,20.4
28,711,64.4%,84.3,-86,0.08845,-0.09886,0,5.41,0.577,7.768,43.95,18.45
29,711,64.4%,91.73,-85,0.72107,0.13242,0,0.748,0.516,14.006,19.95,17.5
30,711,64.4%,84.5,-84,-0.95788,-0.88097,0,1.029,0.577,1.777,33.75,19.75
31,711,64.4%,91.44,-64,-0.36902,-0.97993,0,20.231,54.952,8.283,24.55,16.35
32,711,64.4%,89.88,-133,1.63538,0.04387,0,3.291,0.577,5.607,29.05,25.15
33,711,64.4%,62.45,-163,-0.48245,-0.96441,0,1.552,0.707,1.326,38.2,17.45
34,711,64.4%,82.37,-122,-0.83124,-0.0775,0,6.838,0.577,4.078,32.85,14.3
35,711,64.8%,88.88,-135,-0.14006,0.87818,1.39377,0.57,nan,5.697,21.7,11.25
36,711,64.8%,83.04,-109,-0.403,0.07156,0,0.57,0.794,7.351,38.7,19.9
37,711,64.8%,87.09,-96,-1.08756,-0.19939,0,8.244,0.449,4.563,25.0,13.85
38,711,64.8%,77.87,-114,-0.95722,0.24945,0,0.722,0.577,2.449,43.1,29.25
