Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,496,64.0%,106.85,-4,0.24921,-1.04325,0,2.146,1.298,9.509,36.3,18.9
1,496,64.0%,101.03,-3,-0.67648,-0.99375,0,12.038,0.886,16.546,23.45,23.2
2,496,64.0%,101.56,-4,-0.02741,-0.19199,0,5.554,1.987,8.198,36.15,16.35
3,496,64.0%,102.21,-2,2.63477,-0.82184,0,8.202,1.189,12.029,46.6,21.65
4,496,64.0%,99.02,-9,2.63339,-0.34315,0,3.44,2.862,10.308,47.45,43.05
5,496,64.0%,93.55,-9,-0.90494,-0.42582,0,1.977,0.577,5.184,35.35,17.9
6,496,64.0%,94.45,7,-0.63187,-0.79369,0,7.135,0.88,4.81,28.1,19.35
7,496,64.0%,97.25,-6,0.01686,0.98175,0,1.409,0.548,7.371,41.05,22.7
8,496,64.0%,88.82,-11,-1.3322,0.09758,0,21.163,6.974,11.983,38.9,21.85
9,496,64.0%,97.4,-5,0.59206,-0.96037,0,3.85,0.516,5.963,35.0,18.8
10,496,64.0%,95.96,-16,-0.92991,-0.60379,0,7.486,24.321,4.692,28.95,16.95
11,496,64.0%,94.56,-37,-0.49054,-1.01365,0,6.882,0.548,5.956,28.95,11.9
12,496,64.0%,92.24,-39,-0.64787,-0.59402,0,5.739,0.527,11.448,29.55,19.25
13,496,64.0%,89.94,-35,-0.68985,-0.69789,0,3.161,6.663,5.902,39.35,23.7
14,496,64.0%,86.27,-20,-1.25067,-0.09082,0,2.291,4.094,2.361,42.4,26.6
15,496,64.0%,94.47,-10,0.29171,-1.24771,0,3.17,0.846,8.344,46.9,17.35
16,496,64.0%,97.44,-23,2.50512,-0.29647,0,1.73,1.359,1.989,33.65,22.8
17,496,64.0%,93.47,-24,-0.51509,-0.83925,0,1.188,0.791,6.155,32.65,22.0
18,496,64.0%,95.33,-20,-0.66425,-0.14754,0,1.626,3.545,4.23,23.3,15.95
19,496,64.0%,87.06,-26,-0.75018,-1.15095,0,2.924,1.97,5.913,41.6,33.05
20,496,64.0%,91.68,-15,0.12126,-0.88156,0,3.38,0.779,7.4,40.25,25.85
21,496,64.0%,96.46,-13,-0.72393,0.21613,0,1.637,0.548,6.275,26.2,25.1
22,496,64.0%,89.93,-26,-0.77267,-0.29069,0,1.956,1.432,2.935,38.45,22.45
23,496,64.0%,89.16,-49,-1.15948,-0.88075,0,7.471,nan,5.863,40.6,24.2
24,496,64.0%,93.7,-38,-0.84765,-0.36247,0,0.713,0.577,1.835,22.55,14.8
25,496,65.0%,92.95,-32,0.39556,0.44207,0.22688,2.301,0.756,8.91,25.05,9.2
26,496,65.0%,90.18,-30,-0.72721,0.27299,0,3.247,0.707,5.324,30.35,17.45
