Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,687,64.0%,103.64,1,0.01273,0.93456,0,7.713,5.434,6.434,42.3,22.65
1,687,64.0%,98.47,-6,-0.38528,-0.51567,0,16.959,3.201,12.455,34.7,19.3
2,687,64.0%,102.13,-2,1.14322,-0.28933,0,8.759,1.127,9.176,44.6,31.65
3,687,64.0%,100.55,0,0.71654,-0.28493,-1.66831,7.119,1.111,9.597,41.55,28.75
4,687,64.04%,95.86,-5,-0.22631,1.30976,0,2.777,0.495,9.992,33.75,23.3
5,687,64.04%,95.86,-9,-1.03292,-0.65492,0,4.944,1.398,8.5,29.35,25.65
6,687,64.04%,95.46,8,-0.36102,-0.47027,0,6.19,2.831,8.228,40.95,23.25
7,687,64.08%,91.16,-16,-0.33364,-0.93356,-1.01672,1.228,0.548,5.034,50.5,12.05
8,687,64.08%,89.65,-13,0.35745,0.35813,0,13.725,27.037,10.289,39.15,21.2
9,687,64.08%,90.65,-4,-0.26729,-0.496,0,3.305,0.834,9.257,37.55,27.15
10,687,64.08%,91.95,9,-0.3176,-0.73804,7.20415,1.037,0.565,9.267,38.4,25.0
11,687,64.12%,94.28,8,-0.97666,3.78483,0,3.547,1.322,9.242,31.75,31.75
12,687,64.12%,94.04,-7,-0.54763,-0.59752,0,1.394,0.535,5.932,28.15,15.6
13,687,64.12%,92.57,-8,0.07112,0.72123,0,5.055,5.267,8.296,35.45,20.5
14,687,64.12%,95.83,-34,-0.6548,0.73849,-1.95459,1.01,0.577,5.489,25.1,12.7
15,687,64.16%,94.95,-4,0.16465,-0.19093,0,2.405,0.837,2.9,33.9,14.5
16,687,64.16%,94.94,-14,-0.8828,0.54176,0,1.037,1.369,1.556,33.5,24.15
17,687,64.16%,94.51,-55,-0.13774,0.2908,0,1.303,2.626,4.12,31.95,26.3
18,687,64.2%,94.7,-50,-0.8004,-0.3561,0.38067,22.061,0.548,12.322,30.75,17.8
19,687,64.2%,91.76,-95,0.0145,-0.39964,0,0.994,0.577,1.278,34.55,20.45
20,687,64.2%,85.07,-88,-0.74664,-0.48524,0,3.957,0.577,7.986,43.25,26.1
21,687,64.2%,89.09,-78,-0.57935,-0.55367,1.24302,11.562,0.614,11.076,27.5,26.2
22,687,64.24%,92.78,-69,-0.55391,-1.30537,0,2.305,2.423,6.559,25.15,17.5
23,687,64.24%,89.42,-95,-0.2046,-0.48277,0,8.123,0.598,4.091,31.5,24.7
24,687,64.24%,80.84,-93,-1.35328,-1.27955,0,4.439,0.623,7.666,47.75,22.15
25,687,64.28%,93.41,-80,0.09431,-0.55429,-1.99413,3.558,0.577,5.976,28.2,16.45
26,687,64.28%,89.77,-99,-0.15821,-0.90998,0,5.641,0.498,9.434,23.65,15.35
27,687,64.28%,89.65,-110,0.78942,0.53387,0,2.226,0.577,7.471,29.0,16.15
28,687,64.28%,89.71,-87,-0.15494,-0.55458,0,5.517,1.114,2.822,25.85,22.2
29,687,64.32%,84.76,-90,-1.02364,-0.83523,4.08671,1.287,0.577,4.584,41.6,10.9
30,687,64.32%,74.68,-143,-0.5177,-0.57599,0,0.575,0.711,1.638,41.5,18.95
31,687,64.32%,86.31,-178,0.38149,0.67291,0,4.72,0.548,4.083,47.5,26.2
32,687,64.32%,81.81,-206,-0.9784,-0.37243,-0.64704,1.573,0.577,8.696,34.45,32.4
33,687,64.36%,85.33,-196,0.64668,-0.6446,0,3.65,nan,6.462,33.2,23.7
34,687,64.36%,68.86,-201,1.00738,-0.04385,0,10.668,25.31,5.866,39.75,27.6
35,687,64.36%,64.73,-224,0.34946,-0.66696,0,2.058,0.497,1.51,45.35,11.25
36,687,64.4%,78.14,-182,-1.44535,-1.32814,-1.80131,0.614,0.728,5.286,41.8,23.05
37,687,64.4%,74.52,-175,-1.08851,-0.97625,0,1.733,nan,2.811,53.75,12.15
