Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,636,64.0%,101.2,-17,1.1594,-1.34549,0,3.599,1.059,13.309,44.15,22.25
1,636,64.0%,101.25,1,0.0732,-0.80829,0,14.022,3.672,8.076,42.5,35.75
2,636,64.0%,101.45,-1,0.31037,0.45737,0,12.083,1.51,12.094,40.75,27.95
3,636,64.0%,102.47,-1,-0.09977,-0.73262,9.6137,9.436,0.577,10.265,32.15,21.3
4,636,64.04%,100.24,0,1.33367,-0.33458,0,8.67,0.655,9.258,53.6,24.25
5,636,64.04%,96.77,-15,-0.27749,0.182,0,6.509,0.759,8.371,34.6,22.7
6,636,64.04%,93.82,-12,-1.20044,-0.81056,0,2.663,1.552,5.891,36.0,25.9
7,636,64.04%,96.16,-10,-0.36614,0.80448,2.41623,2.362,0.548,6.2,33.65,20.5
8,636,64.08%,94.56,-11,-0.49586,-0.86478,0,15.295,1.461,7.32,32.85,24.85
9,636,64.08%,94.85,-10,-0.37271,-0.80464,0,6.296,0.535,5.697,32.2,18.0
10,636,64.08%,91.38,-8,-0.95769,-0.75209,0,4.443,0.744,7.023,34.5,25.4
11,636,64.08%,94.81,-15,-0.34251,-0.37109,0.09021,2.752,0.633,5.804,28.85,16.5
12,636,64.12%,93.08,-29,-1.00344,-0.26716,0,2.278,0.957,6.292,33.5,23.55
13,636,64.12%,90.84,-20,-0.56233,-1.12548,0,12.752,9.612,8.481,45.9,31.1
14,636,64.12%,94.27,-15,-0.32636,0.54063,0,25.164,0.707,11.991,32.1,25.2
15,636,64.12%,94.13,-39,-0.8826,-0.4085,-1.0022,0.7,0.548,9.993,32.05,21.05
16,636,64.16%,89.45,-49,-0.53521,-0.53982,0,3.879,0.49,5.718,42.7,27.7
17,636,64.16%,91.04,-46,-0.86199,-0.83816,0,1.214,0.577,5.015,29.25,18.45
18,636,64.16%,97.07,-39,1.58457,-1.06207,0,1.676,0.707,12.931,29.6,13.15
19,636,64.16%,95.44,-41,-0.95894,0.25143,-1.58325,1.709,0.707,3.681,19.0,17.15
20,636,64.2%,87.95,-73,-0.38541,-0.5697,0,0.772,0.577,2.4,44.4,20.5
21,636,64.2%,92.98,-64,-0.50766,-0.25828,0,4.557,0.707,6.779,28.9,14.55
22,636,64.2%,93.88,-53,1.29115,-1.0272,0,2.62,0.517,4.78,36.8,35.4
23,636,64.2%,93.51,-44,0.68285,-0.36787,-1.88661,13.989,0.566,10.232,32.2,11.5
24,636,64.24%,92.06,-25,-0.62645,-1.22361,0,0.75,0.492,8.212,26.6,24.4
25,636,64.24%,92.3,-47,-0.67632,-0.15435,0,13.279,1.243,7.909,28.9,20.75
26,636,64.24%,87.5,-27,-1.23507,-0.54382,0,3.747,0.493,9.267,33.55,20.15
27,636,64.24%,91.19,-33,0.10053,-0.85998,-2.00233,0.663,0.577,5.301,28.0,15.25
28,636,64.28%,86.72,-40,-1.0515,-0.96293,0,1.602,0.535,7.074,34.3,16.4
29,636,64.28%,83.32,-41,-0.75371,-0.83691,0,3.125,4.23,2.761,44.7,28.75
