Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,710,64.0%,102.35,-5,0.35245,0.00321,0,12.729,7.127,13.447,41.35,26.9
1,710,64.0%,98.97,-1,0.40344,-0.35469,0,6.324,0.868,14.647,40.95,17.9
2,710,64.0%,99.5,-3,0.11373,1.40879,0,6.466,5.645,9.033,34.05,18.3
3,710,64.0%,98.86,7,0.5688,-0.63088,-1.99845,1.533,0.695,7.58,46.95,19.25
4,710,64.04%,91.32,0,-1.05841,0.04691,0,1.827,1.376,7.003,36.35,22.05
5,710,64.04%,95.72,6,-0.3839,-1.02915,0,2.085,4.787,4.268,34.45,25.85
6,710,64.04%,97.61,-6,-0.74819,-0.00234,0,3.767,1.219,10.564,37.6,18.15
7,710,64.08%,96.89,-4,-0.56361,-0.52257,18.85172,12.674,0.548,7.746,29.4,24.4
8,710,64.08%,93.91,-10,-0.51496,-0.65744,0,10.641,3.353,10.27,33.6,12.8
9,710,64.08%,92.07,-13,-0.87961,-0.96844,0,1.343,0.54,3.472,37.8,28.5
10,710,64.08%,93.54,-24,-0.72228,-1.16795,-1.93987,20.733,1.297,11.903,31.25,25.55
11,710,64.12%,96.16,-19,-0.00283,-0.18575,0,3.283,0.836,6.561,35.7,23.05
12,710,64.12%,96.45,-15,-0.69441,-0.80365,0,1.019,0.696,5.252,32.5,25.55
13,710,64.12%,91.51,-34,1.41513,0.96426,0,1.562,0.549,9.141,44.95,16.85
14,710,64.16%,94.93,-27,-0.51239,-0.32292,6.98316,0.979,0.577,3.544,27.05,19.6
15,710,64.16%,93.27,-33,-0.40849,-1.61193,0,4.184,0.607,6.903,36.4,26.55
16,710,64.16%,91.78,-88,-0.53353,-0.29311,0,5.755,0.591,9.397,35.15,14.25
17,710,64.16%,85.05,-98,-0.57727,-0.97588,-1.81746,3.313,0.577,11.752,52.45,12.7
18,710,64.2%,90.73,-83,0.58989,-1.14753,0,10.587,0.492,5.091,44.55,13.3
19,710,64.2%,93.45,-126,-0.61864,-0.28011,0,0.662,0.548,5.571,25.55,16.3
20,710,64.2%,90.23,-115,1.4541,-0.48009,0,11.808,0.577,7.091,40.95,16.75
21,710,64.24%,90.71,-116,-0.12272,-0.46945,3.06402,1.369,0.749,5.254,33.0,8.3
22,710,64.24%,90.06,-142,-0.48167,-0.50863,0,3.12,0.548,9.033,35.65,12.35
23,710,64.24%,91.54,-97,-0.25283,0.12001,0,1.926,0.548,3.64,30.75,17.75
24,710,64.24%,82.89,-115,-1.1603,-1.06262,-1.61947,0.635,0.907,6.352,49.2,25.3
25,710,64.28%,89.55,-120,-1.28728,-0.13631,0,1.321,0.497,5.26,26.65,17.8
26,710,64.28%,88.46,-130,-1.0607,-0.47561,0,2.631,0.823,11.736,26.0,19.6
27,710,64.28%,90.4,-124,-0.87672,-0.69043,0,6.347,1.497,11.014,21.65,17.9
28,710,64.32%,88.75,-141,-0.95125,-0.57466,1.13648,0.948,0.577,5.318,23.05,14.2
29,710,64.32%,84.96,-165,-0.74074,-0.64178,0,2.41,0.756,2.711,48.1,17.55
30,710,64.32%,84.16,-156,0.37785,-1.08784,0,5.921,9.851,5.612,45.4,25.3
31,710,64.32%,67.76,-162,-0.34431,-0.30793,-1.32462,3.63,0.577,3.476,41.35,26.25
32,710,64.36%,80.83,-132,-1.05044,-0.7391,0,0.77,0.707,5.744,41.15,20.35
33,710,64.36%,79.12,-178,-0.97637,-1.03204,0,0.556,0.707,4.531,36.4,10.3
34,710,64.36%,76.75,-180,-1.26294,-0.88204,0,1.914,0.506,3.774,45.65,19.2
35,710,64.4%,74.13,-187,-1.37145,-1.24994,0.0097,0.972,0.535,1.493,47.3,5.9
36,710,64.4%,79.38,-197,-0.42235,-0.34083,0,1.556,0.509,5.113,43.55,18.8
37,710,64.4%,84.48,-181,-1.21006,-0.9365,0,0.655,0.535,4.931,25.3,23.05
38,710,64.4%,86.03,-165,-0.53768,-0.64545,-0.89563,0.507,0.604,1.106,40.3,20.45
39,710,64.44%,87.74,-244,-0.33883,2.63114,0,2.521,0.577,6.516,30.2,17.05
40,710,64.44%,88.14,-225,-0.49184,-0.71016,0,0.693,0.548,3.917,19.45,17.3
41,710,64.44%,85.44,-215,-0.88962,0.06608,0,0.806,2.095,2.29,25.3,19.2
42,710,64.48%,78.45,-204,-0.25798,-0.75177,-0.7125,1.562,2.217,1.21,39.9,20.9
43,710,64.48%,75.24,-184,-1.64471,-0.82882,0,3.377,0.577,2.812,46.7,10.1
44,710,64.48%,85.32,-245,-0.71346,-0.50335,0,0.652,0.707,4.985,30.4,9.85
45,710,64.48%,79.69,-236,-0.78258,-0.43199,-0.26501,0.744,0.577,7.689,31.55,31.4
46,710,64.52%,79.35,-260,-0.69325,-0.4141,0,2.96,1.202,7.66,33.05,13.75
47,710,64.52%,69.05,-259,-1.02169,-1.11182,0,0.799,0.5,4.134,41.7,24.2
48,710,64.52%,86.94,-240,0.51406,-1.51184,0,0.842,0.56,5.886,36.35,27.25
49,710,64.56%,73.99,-364,-1.52944,-0.94555,-1.19904,0.511,nan,6.285,42.75,8.25
50,710,64.56%,63.83,-400,-1.22307,-0.06507,0,2.304,6.223,1.79,50.05,9.8
51,710,64.56%,65.65,-381,-1.57437,-1.17174,0,0.722,0.577,3.302,47.55,15.75
52,710,64.56%,84.9,-340,-0.45987,-0.46725,0.69903,0.61,nan,2.214,24.95,24.95
53,710,64.6%,79.05,-320,-1.42978,0.03109,0,0.618,0.564,3.349,37.8,19.95
54,710,64.6%,82.97,-350,-1.07939,-0.49601,0,0.559,0.707,3.922,30.35,13.4
55,710,64.6%,69.34,-386,-1.31015,-0.73855,0,6.874,12.143,2.814,45.65,22.05
56,710,64.64%,78.0,-349,-0.18892,-0.98729,-1.53337,0.949,0.577,4.841,35.75,27.05
57,710,64.64%,57.3,-395,-0.39956,-0.55754,0,0.515,0.577,4.692,38.8,19.95
58,710,64.64%,46.19,-390,0.56259,-0.84619,0,2.043,nan,1.658,26.8,13.35
