Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,770,64.0%,101.81,0,0.34151,-0.18816,0,3.338,1.307,8.387,47.7,24.15
1,770,64.0%,100.08,-4,0.23411,-0.1634,0,10.928,1.983,10.674,32.7,24.65
2,770,64.0%,99.95,-6,0.40817,-0.71008,0,5.287,8.165,13.955,41.25,32.0
3,770,64.04%,99.32,7,1.31701,0.28452,-0.61599,1.498,1.066,10.293,50.6,17.6
4,770,64.04%,96.14,-1,0.13559,-0.5284,0,11.727,7.011,8.55,33.9,25.9
5,770,64.04%,98.15,-6,-0.48099,-0.78024,0,3.438,0.641,8.585,31.85,20.95
6,770,64.08%,93.62,-7,0.33718,1.45206,-2.00454,1.874,4.14,11.298,41.05,36.85
7,770,64.08%,93.4,-5,1.33247,-0.68259,0,4.438,0.548,6.769,39.35,22.75
8,770,64.08%,94.18,-12,-0.47661,-0.22751,0,6.425,0.717,6.49,27.95,16.9
9,770,64.08%,93.13,1,0.2892,-0.1281,-0.7965,2.927,1.154,5.066,41.3,16.5
10,770,64.12%,96.91,-4,0.37871,-0.04757,0,1.958,0.707,8.199,35.8,13.05
11,770,64.12%,95.98,-16,-0.25178,-0.92731,0,9.94,0.748,9.397,31.6,31.4
12,770,64.12%,95.79,-93,-0.462,-1.55779,72.4908,4.231,0.577,8.25,47.75,22.45
13,770,64.16%,95.4,-93,-0.17964,-0.24401,0,1.283,0.535,8.282,33.6,13.65
14,770,64.16%,95.35,-108,-0.4043,-1.20134,0,11.252,0.707,6.048,34.25,17.25
15,770,64.16%,92.09,-123,0.12174,-0.39662,0,4.316,1.749,5.363,32.3,22.3
16,770,64.2%,94.32,-111,0.04392,-0.43315,-0.41203,25.277,17.285,10.689,32.15,17.8
17,770,64.2%,86.75,-138,-1.32948,0.54118,0,11.129,0.584,7.207,36.9,34.05
18,770,64.2%,85.41,-149,-0.74297,-1.10214,0,2.199,6.713,3.807,37.6,20.05
19,770,64.24%,89.88,-148,-1.02277,-0.48027,-1.99909,1.47,3.124,5.571,26.7,21.45
20,770,64.24%,91.09,-145,-0.44345,-0.43248,0,2.917,0.917,3.907,33.85,21.3
21,770,64.24%,63.61,-173,0.39362,0.52838,0,0.844,0.833,3.161,56.6,25.95
22,770,64.24%,67.06,-150,-0.98173,-0.38214,-0.95675,6.008,1.25,7.865,45.4,28.65
23,770,64.28%,78.85,-144,-0.92529,-0.96367,0,6.046,4.332,5.337,40.95,14.55
24,770,64.28%,80.87,-119,-0.67983,-0.62559,0,0.752,0.508,3.311,34.9,16.2
25,770,64.28%,68.53,-163,-0.5066,-0.13732,33.75323,1.064,0.57,6.133,52.05,16.9
26,770,64.32%,87.67,-124,-0.64044,-0.1911,0,15.113,0.8,11.118,37.9,36.45
27,770,64.32%,76.87,-106,-0.8279,-0.81119,0,0.96,0.707,3.978,47.65,17.9
28,770,64.32%,73.84,-146,-0.48935,-0.51851,0,0.56,0.565,2.309,47.9,25.35
29,770,64.36%,86.9,-139,-1.23962,-0.80506,-0.18064,3.295,8.63,6.692,33.0,24.75
30,770,64.36%,83.74,-247,-0.86144,1.2035,0,0.718,0.707,11.074,52.65,17.75
31,770,64.36%,76.5,-258,-0.35361,-0.97906,0,1.723,nan,3.565,45.15,22.5
32,770,64.4%,86.8,-220,-0.64854,-0.43571,-1.98817,10.233,0.463,4.135,22.9,16.05
33,770,64.4%,88.08,-232,-0.17548,0.12445,0,0.903,0.707,3.711,25.55,12.0
34,770,64.4%,82.83,-245,-0.91335,-0.70734,0,0.609,0.577,4.513,31.0,9.95
35,770,64.4%,85.6,-238,-0.73597,0.31421,-1.09934,15.192,0.548,6.646,24.45,17.5
36,770,64.44%,85.57,-206,-0.16398,-1.35251,0,0.825,0.619,3.661,35.5,11.65
37,770,64.44%,87.72,-260,0.02792,-0.46419,0,1.731,0.646,3.066,25.55,16.65
38,770,64.44%,79.08,-293,-0.70296,-0.72625,20.85013,0.653,0.9,4.633,41.4,20.8
39,770,64.48%,78.76,-280,-0.74942,1.55856,0,15.611,0.707,8.198,38.35,13.4
40,770,64.48%,87.13,-319,-0.14573,-0.89128,0,0.775,nan,2.165,24.65,15.5
41,770,64.48%,82.41,-300,1.6462,-0.66689,0,0.683,nan,3.823,40.85,35.75
42,770,64.52%,63.61,-408,-0.22371,-1.33665,0.08312,0.495,nan,7.922,45.5,21.2
43,770,64.52%,63.61,-378,0.15499,-0.83901,0,2.119,0.707,1.484,28.6,11.85
44,770,64.52%,66.51,-367,0.93051,0.31148,0,2.317,0.548,1.425,41.4,21.6
