Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,685,64.0%,102.65,-4,0.19468,-0.7922,0,8.247,5.926,8.346,37.35,27.2
1,685,64.0%,100.62,-7,-0.47712,-0.44629,0,16.116,37.295,9.485,33.15,29.85
2,685,64.0%,100.35,5,0.42153,-0.79874,0,13.105,0.991,8.993,39.1,25.85
3,685,64.0%,97.98,-4,0.47621,-0.36831,-1.60949,3.606,5.897,9.445,45.65,33.05
4,685,64.04%,96.48,-2,-0.60518,-0.66962,0,10.815,5.732,5.79,33.55,14.35
5,685,64.04%,94.15,0,-0.25837,-0.35597,0,3.782,1.36,7.223,51.4,25.95
6,685,64.04%,94.54,10,0.72307,-0.79097,0,2.533,1.545,10.645,41.85,16.15
7,685,64.08%,96.74,1,-0.07724,0.04879,-1.23168,3.403,3.598,3.959,36.45,27.2
8,685,64.08%,93.19,-13,-0.55023,0.08304,0,3.059,0.548,6.402,37.8,30.45
9,685,64.08%,90.97,-6,-0.2585,-0.16127,0,3.612,2.461,9.26,36.9,14.7
10,685,64.08%,93.45,-8,0.33667,-0.67969,14.7414,4.442,3.197,11.206,35.9,15.75
11,685,64.12%,94.7,-33,-0.53953,-1.34032,0,2.529,0.544,10.165,43.15,25.0
12,685,64.12%,92.9,-25,0.30088,0.21181,0,1.241,0.505,10.378,35.75,34.5
13,685,64.12%,96.44,-28,2.08362,-1.48728,0,0.868,0.577,6.515,39.2,23.05
14,685,64.12%,97.03,-55,-1.11931,-1.22096,-1.84304,6.572,0.75,5.805,21.45,20.0
15,685,64.16%,90.33,-92,-0.9079,-0.36419,0,5.689,0.875,10.922,32.6,16.45
16,685,64.16%,89.55,-80,-0.39798,-0.7444,0,5.212,0.548,3.275,31.45,23.75
17,685,64.16%,91.03,-69,-0.75713,-1.08378,0,7.628,0.577,8.821,33.2,31.3
18,685,64.2%,91.23,-72,-1.0022,-0.75819,-0.63638,2.049,0.548,4.248,33.9,21.55
19,685,64.2%,90.55,-87,-0.79438,-0.93768,0,7.471,2.913,6.255,28.5,20.75
20,685,64.2%,85.52,-92,-1.0464,0.11893,0,1.211,0.521,1.737,35.55,15.65
21,685,64.2%,90.62,-98,0.43992,-0.03102,4.9443,2.643,0.498,5.236,33.15,32.75
22,685,64.24%,93.46,-89,0.29661,-0.54919,0,1.182,0.816,10.342,24.65,17.0
23,685,64.24%,84.7,-104,-1.38336,-0.72919,0,3.875,0.577,4.182,28.8,25.25
24,685,64.24%,89.65,-83,-0.94797,-1.04358,0,6.672,0.707,7.779,30.45,17.2
25,685,64.24%,90.98,-81,-0.12088,-0.15687,-1.96925,5.153,0.756,4.023,34.6,15.45
26,685,64.28%,88.15,-103,-0.83787,-0.88819,0,2.586,0.577,2.29,31.75,15.6
27,685,64.28%,89.42,-103,-1.06094,2.17,0,0.657,0.897,2.776,23.4,12.0
28,685,64.28%,83.92,-97,-1.09658,-1.23108,0,8.587,0.707,4.401,32.15,22.45
29,685,64.32%,88.43,-80,0.15581,-1.10296,0.33068,0.764,0.535,4.819,48.65,21.65
30,685,64.32%,86.78,-146,-0.96931,-1.10956,0,1.004,1.307,2.951,27.8,19.7
31,685,64.32%,77.86,-156,-0.2045,-0.91943,0,2.948,0.996,4.56,34.2,21.25
32,685,64.32%,91.1,-111,-0.24527,-0.70943,1.72616,4.864,0.539,14.581,22.9,9.4
33,685,64.36%,87.38,-132,-0.45251,-0.78078,0,0.919,0.577,6.069,30.4,29.85
34,685,64.36%,79.24,-137,-1.48775,-0.79479,0,0.87,0.548,9.606,41.55,15.9
35,685,64.36%,78.62,-170,-1.00233,-0.88568,0,0.741,0.64,2.718,39.2,15.2
36,685,64.4%,79.17,-180,-1.39849,-0.93869,-2.00565,2.795,0.776,1.88,34.1,19.2
37,685,64.4%,86.74,-167,-0.7656,-0.0522,0,1.368,nan,2.203,24.05,15.65
38,685,64.4%,76.56,-218,-0.33593,-0.26338,0,1.886,0.531,3.073,48.4,12.4
39,685,64.4%,51.7,-257,-1.11719,-1.08298,0,3.901,9.386,3.725,50.4,29.85
40,685,64.44%,81.75,-194,-0.29686,0.28751,2.04458,13.182,0.548,5.634,38.35,20.1
41,685,64.44%,87.4,-206,0.59555,-0.85323,0,0.672,1.564,1.32,24.65,9.7
42,685,64.44%,79.52,-189,0.13328,-0.66205,0,2.111,0.582,1.204,46.45,42.25
43,685,64.44%,79.88,-232,-0.82122,-0.66016,0.15965,8.007,19.323,5.928,38.7,21.6
44,685,64.48%,90.16,-180,0.50962,-1.2674,0,0.799,0.577,2.272,23.0,10.85
45,685,64.48%,84.65,-175,-0.6103,-0.79929,0,0.544,0.824,7.038,27.45,15.7
46,685,64.48%,79.89,-149,-0.59343,-0.48002,0,3.927,0.957,1.991,38.1,16.55
47,685,64.52%,87.42,-141,-0.84729,-1.08161,-1.95698,15.539,nan,6.245,28.1,9.65
48,685,64.52%,84.25,-158,-0.30807,-0.27171,0,0.683,0.548,2.789,39.05,18.0
49,685,64.52%,71.48,-175,-0.382,-0.76286,0,8.903,0.707,3.722,44.45,28.4
50,685,64.52%,85.52,-188,0.38592,-0.03587,0,0.674,0.577,5.2,27.25,11.25
51,685,64.56%,79.58,-167,-1.01145,-0.8478,5.69352,6.095,0.707,6.596,39.05,4.9
52,685,64.56%,81.3,-146,-0.07322,-0.06622,0,5.085,1.62,2.434,38.95,14.0
53,685,64.56%,65.64,-173,-0.27585,-0.70309,0,2.091,3.132,2.577,34.85,17.25
54,685,64.56%,86.89,-126,0.3322,0.36587,-0.73922,0.649,0.707,3.378,29.0,9.35
55,685,64.6%,90.03,-130,0.07101,-0.4944,0,0.5,nan,0.841,16.65,10.0
56,685,64.6%,77.88,-156,-1.2266,-1.28014,0,0.603,nan,1.337,37.05,14.1
57,685,64.6%,82.84,-166,-1.007,0.83194,0,6.717,0.707,2.921,20.0,19.75
58,685,64.64%,83.62,-157,2.58305,-0.76445,-1.81685,8.012,0.577,7.375,33.65,12.4
59,685,64.64%,60.84,-200,-1.72867,-1.79973,0,0.523,0.663,4.884,66.8,15.35
60,685,64.64%,52.65,-173,-1.34237,-1.30071,0,4.582,0.548,1.935,37.2,12.25
61,685,64.64%,70.27,-142,-1.52661,-1.1226,0,0.49,nan,1.856,45.25,15.55
62,685,64.68%,85.51,-127,-0.16112,-1.28396,18.01914,1.842,0.707,1.397,30.35,13.6
63,685,64.68%,48.25,-203,4.95091,3.65266,0,0.801,1.157,1.017,56.05,8.75
64,685,64.68%,42.8,-186,-0.67734,-1.07143,0,0.677,0.502,1.584,26.25,8.65
65,685,64.68%,63.61,-156,-0.64831,-0.99909,-1.29669,11.804,6.332,5.285,60.75,26.35
66,685,64.72%,84.85,-142,1.73583,1.20865,0,5.208,0.632,9.708,41.4,37.9
67,685,64.72%,69.15,-142,-1.50892,-0.48488,0,0.575,0.577,2.259,41.05,20.6
68,685,64.72%,71.27,-177,-0.65784,0.57539,0,0.712,0.247,3.9,42.2,26.7
69,685,64.76%,48.73,-312,-0.68274,-1.0169,-1.56554,0.799,nan,0.656,41.55,17.05
70,685,64.76%,79.6,-209,-1.34266,0.18494,0,1.015,0.577,0.818,27.65,8.2
71,685,64.76%,71.62,-243,-0.31995,-1.08517,0,0.639,nan,0.673,37.5,20.9
72,685,64.76%,65.81,-284,-1.01968,-1.14688,132.98481,0.607,0.577,0.634,45.6,10.8
73,685,64.8%,62.07,-292,-1.42086,-1.35531,0,0.621,nan,0.627,52.0,21.4
74,685,64.8%,70.84,-268,-0.23894,-0.73406,0,0.525,0.707,1.812,46.3,33.5
75,685,64.8%,75.2,-258,2.95789,2.51293,0,0.908,0.535,1.395,54.05,43.85
76,685,64.8%,33.42,-310,-1.18851,-0.78245,-1.65054,1.637,0.707,0.87,25.2,5.65
77,685,64.84%,44.5,-292,-0.8512,-1.05592,0,0.607,0.707,6.147,31.2,10.75
78,685,64.84%,48.24,-265,-0.30859,-1.58962,0,0.526,0.577,0.558,19.6,9.65
79,685,64.84%,32.11,-303,-1.59691,-1.49166,0,0.555,0.636,0.793,26.6,3.85
80,685,64.88%,21.33,-378,-0.98284,-0.54196,-1.16235,0.89,0.548,1.634,11.15,3.75
81,685,64.88%,28.78,-317,-0.8767,-1.02351,0,0.74,0.707,3.036,16.75,6.0
82,685,64.88%,29.48,-327,-1.17692,-1.0235,0,0.676,0.707,3.225,25.05,8.0
83,685,64.88%,32.07,-351,0.32467,0.368,12.28525,0.883,0.577,0.674,32.1,7.6
84,685,64.92%,28.39,-314,-0.77916,-0.374,0,1.106,nan,2.118,12.2,6.35
85,685,64.92%,26.94,-331,-0.39426,0.31743,0,0.525,nan,0.822,13.0,6.95
86,685,64.92%,23.48,-346,0.04543,-0.85259,0,0.577,0.707,0.593,13.3,9.1
87,685,64.92%,41.58,-275,-0.54218,-0.56666,-1.86707,0.5,0.707,0.616,34.4,8.55
88,685,64.96%,41.25,-294,-0.28945,-0.57517,0,0.572,nan,1.224,13.3,5.75
89,685,64.96%,41.06,-300,0.02981,-1.31146,0,0.67,0.707,1.449,20.7,10.3
90,685,64.96%,50.88,-267,-1.32332,-0.7755,0,0.519,nan,4.337,25.3,3.7
91,685,65.0%,55.21,-241,0.24317,0.12097,-0.52626,2.365,0.707,6.571,46.95,19.05
92,685,65.0%,43.66,-262,-0.83283,-0.23002,0,0.756,nan,0.61,17.25,6.65
93,685,65.0%,61.66,-369,-0.9491,-1.58395,0,0.902,0.577,1.601,52.5,19.85
94,685,65.0%,72.21,-324,0.26717,-0.7002,4.29633,5.097,0.784,2.367,46.7,20.4
95,685,65.04%,68.51,-311,-0.23182,-0.61442,0,0.535,nan,5.388,46.65,8.2
96,685,65.04%,84.07,-322,-0.44542,-1.4165,0,0.5,nan,0.755,25.8,5.35
97,685,65.04%,71.3,-340,-0.73838,-0.76107,0,0.545,0.558,0.903,35.2,13.6
98,685,65.04%,71.64,-350,-0.48241,-1.21138,-1.97972,0.623,0.707,3.125,38.05,10.2
99,685,65.08%,85.79,-284,-0.08723,-1.15859,0,0.527,nan,0.505,19.95,0.4
